current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Software Engineer,Accenture,5.0,"API Development, Core Java, Spring Boot, Spring MVC, REST APIs, MySQL, MongoDB, Problem Solving, CI, Database Management System (DBMS), Object-Oriented Programming (OOP), Microsoft Azure, Microservices, J2EE Web Services, Java Development, Representational State Transfer (REST), Application Development, Java, Spring Framework, Hibernate, JUnit, Microsoft SQL Server, SQL, SAP ABAP, C (Programming Language), HTML, Cascading Style Sheets (CSS), English, Hindi",Bachelor of Engineering - BE,Sir M Visvesvaraya Institute Of Technology,"Microsoft Certified: Azure Fundamentals, Application Security Awareness and Validation",Bengaluru,Karnataka,India,backendFinal
Senior Software Engineer,Wipro,4.4,"Software Infrastructure, Software Design, Engineering, Back-End Web Development, Android Development, Python (Programming Language), Go (Programming Language), Java, Programming Languages, Golang, Core Java, SQL",B-Tech,Government College Of Engineering and Ceramic Technology,,Bengaluru,Karnataka,India,backendFinal
Software Engineer,Tekion Corp,3.2,"Software Design, Agile Methodologies, Git, Software Development, Coding Experience, Spring, Search Engine Optimization (SEO), WordPress, PHP, Object-Oriented Programming (OOP), SQL, Spring Framework, Java, Algorithms, MySQL, Microsoft Excel, Problem Solving, RDBMS, Java Collections , Data Structures",Bachelor of Science - BS,"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Business Analyst, Java (Basic), Java Programming , Software Development Trainee",Bengaluru,Karnataka,India,backendFinal
Software Engineer,I-PAC (Indian Political Action Committee),3.9,"MySQL, Web Engineering, Software Design, Jira, Jupyter, PostgreSQL, Elasticsearch, Programming, Python (Programming Language), Django, Pandas (Software)",Bachelor of Engineering - BE,Chhattisgarh Swami Vivekanand Technical University,,Bengaluru,Karnataka,India,backendFinal
Software Engineer,EPAM Systems,5.2,"MySQL, DBeaver, postman, Databases, Linux, Amazon Web Services (AWS), Amazon EC2, Amazon Relational Database Service (RDS) , Google Cloud Platform (GCP), Go (Programming Language), Python (Programming Language), Machine Learning, Data Science, Tableau, SQL, PostgreSQL, Microsoft Word, Microsoft Excel, Microsoft Office, Microsoft PowerPoint",Master of Computer Applications,Ganadipathy Tulsi's Engineering College,,Vellore,Tamil Nadu,India,backendFinal
Sde 3,Flipkart,9.4,"Java, MongoDB, C++, Spring Framework, MySQL, Algorithms, HTML, Cassandra, Apache Kafka, Spring Boot, Microservices",Bachelor of Technology - BTech,"Indian Institute of Technology, Roorkee",,Bengaluru,Karnataka,India,backendFinal
Software Engineer 3,JPMorganChase,5.0,"J2EE Web Services, Databases, Multithreading, Amazon Web Services (AWS), Core Java, Java Development, Server Side Programming, Docker Products, J2EE, Hibernate, Apache Kafka, Jenkins, Kubernetes, Docker, Distributed Computing, Business Requirements, Distributed Systems, Algorithms, Java, Git, Go (Programming Language), Software Deployment, Responsive Web Design, Web Applications, Spring Boot, Vanilla JavaScript, Application Programming Interfaces (API), Redis, Relational Databases, Web Framework, API Development, Spring MVC, Spring Framework, Server Side, Representational State Transfer (REST), TypeScript, Django, Backend, AngularJS, Firebase, Express.js, Object-Oriented Programming (OOP), Node.js, REST APIs, Data Analysis, React.js, Agile Methodologies, Software Development, NoSQL, Query Languages, SQL, Full-Stack Development, MySQL, MongoDB, Microservices, MERN Stack, HTML5, JavaScript, Python, Linux, Microcontrollers, Machine Learning, Python (Programming Language), Microsoft Azure",Bachelor of Technology - BTech,Manipal Institute of Technology,,Bengaluru,Karnataka,India,backendFinal
Research And Development Engineer,Ekinops,5.5,"JavaScript, Linux, Google Cloud Platform (GCP), Cloud Services, Flask, SQL, Git, MySQL, REST APIs, HTML, Critical Thinking, Analytical Skills, C++, Matlab, Python (Programming Language), Django, Django REST Framework, Postman API",Bachelor of Technology - BTech,"Sree Chitra Thirunal College of Engineering, Pappanamcode, Thiruvananthapuram",Jiffy RPA Certification,Bengaluru,Karnataka,India,backendFinal
Software Engineer,Microsoft,4.9,"Software Design, C#, .NET Framework, Azure Cosmos DB, Azure SQL, SQL, Windows Software Development, Coding Standards, Business Requirements, FastAPI, gRPC, Cloud-Native Applications, Doctrine (PHP), Technical Architecture, Production Readiness, Root Cause, Debugging, Oral Communication, Code Review, Object Oriented Design, Acceptance Testing, Technical Documentation, Deep Learning, PyTorch, TensorFlow, Kotlin Coroutines, Gradle, Maven, REST APIs, RESTful WebServices, Model-view-viewmodel (MVVM), Android, ADB, Android Development, Kotlin, Java, Spring Boot, Apache Kafka, Microservices, Microsoft Azure, C++, Algorithm Design, Data Structures, MySQL, C (Programming Language), Research, Python (Programming Language), HTML, Database Management System (DBMS)",Master of Technology - MTech,"Indian Institute of Technology, Guwahati","Problem Solving (Intermediate), Problem Solving (Basic), Core Python, Django Framework",Bengaluru,Karnataka,India,backendFinal
Senior Software Engineer,Freecharge,5.3,"MongoDB, TypeScript, Node.js , Computer Science, Back-End Web Development, Software Development, Linux, React.js, JavaScript, Data Structures, Web Development, C++, C, Node.js, Reactjs, Cascading Style Sheets (CSS), Presentations, Communication",Bachelor's degree,VIT_Vellore Institute of Technology ,"Linux For Developer, Modern JavaScript, Codechef Rank 103 in Jan Long Challenge ",Bengaluru,Karnataka,India,backendFinal
Product Engineer,JUSPAY,5.7,"Elasticsearch, MySQL, Apache Kafka, Spring Boot, Amazon Web Services (AWS), Continuous Integration and Continuous Delivery (CI/CD), Software Design, Java, DBMS, JavaScript, Git, Haskell, REST APIs, React Hooks, Problem Solving, Web Development, Data Structures, Python (Programming Language), C++, Node.js, MongoDB, Express.js",Bachelor of Technology - BTech,"BUNDELKHAND INSTITUTE OF ENGINEERING AND TECHNOLOGY, JHANSI","Front-End development with React.js, Backend development with Node js, Data Structure in C++",,Uttar Pradesh,India,backendFinal
Senior Software Engineer,Wipro,6.7,"Hibernate, Model-View-Controller (MVC), PL/SQL, SQL, Java, Oracle Forms, Oracle Reports, Microsoft Excel, Microsoft Office, Engineering, English, Software Project Management, Microsoft SQL Server, SQL Server Management Studio, Functional Testing, Unit Testing, C++, Teamwork, Team Coordination, Risk Management, HTML, Cascading Style Sheets (CSS), Microsoft PowerPoint, Microsoft Word, MySQL",Bachelor of Technology - BTech,"Mody Institute of Technology & Science, Sikar","SQL (Basic), SQL (Intermediate), Microsoft Certified: AZ – 900 Azure Fundamentals",Bengaluru,Karnataka,India,backendFinal
Software Engineer,FireFlink,2.2,"Consul , HashiCorp, HTML, Java Database Connectivity (JDBC), Debugging, Web Services, Representational State Transfer (REST), REST APIs, Problem Solving, Microservices, Code Review, Spring Boot, Spring MVC, Spring Security, Keycloak, Apache Kafka, PostgreSQL, MongoDB, SQL, docker, Core Java, Java, Spring Framework, Hibernate",Bachelor of Technology - BTech,"Viswam Degree & PG College, Angallu, Chittoor Dist.",,Bengaluru,Karnataka,India,backendFinal
SDE-3,Tesco Bengaluru,12.5,"C, C++, Java, HTML, Windows, Microsoft Office, SQL, Microsoft Excel, Microsoft Word, Python, Data Structures, Algorithms, Programming, Linux, Shell Scripting, JavaScript",Master of Science - MS,Georgia Institute of Technology,"Application Security and Secure Coding Training course, Perl Essentials",Puducherry,Puducherry,India,backendFinal
Software Engineer 3,HashedIn by Deloitte,7.3,"Programming, Engineering, Python (Programming Language), Data Structures, Object-Oriented Programming (OOP), Linux, GNU, Jira, Jenkins, Scrum, Agile Methodologies, Shell Scripting, Software Development Life Cycle (SDLC), Software Development",Bachelor's degree,KIIT - Kalinga Institute of Industrial Technology,,Bengaluru,Karnataka,India,backendFinal
Software Engineer III,Cisco,7.8,"Go (Programming Language), Python, MySQL, C++, C, Ubuntu, Go",Bachelor of Engineering (BE),Bangalore University,,Bengaluru,Karnataka,India,backendFinal
Product Development Engineer II,Razorpay,3.8,"Git, JavaScript, JUnit, Mocha, Mockito, Microservices, Redis, MySQL, Node.js, Java, HTML, React.js, User Interface Design, Python (Programming Language), C (Programming Language)",Bachelor of Technology - BTech,Chitkara University,,Bengaluru,Karnataka,India,backendFinal
Senior Associate Consultant,Infosys,4.3,"Spring MVC, Spring Framework, React.js, Microservices, Git, GitHub, Data Structures, MySQL, MongoDB, docker, Maven, Engineering, HTML5, JavaScript, Object-Oriented Programming (OOP), C++, C (Programming Language), SQL, Java servlet, Cascading Style Sheets (CSS), Databases, Java, Database Management System (DBMS), Agile Methodologies, Jenkins, Spring Boot",Bachelor's degree,Gyan Ganga Institute of Technology Sciences,"JAVA FULL STACK DEVELOPMENT, Implement Frameworks the DevOps way, Become a back-end expert, Implement OOPS using JAVA with Data Structures and Beyond",Bengaluru,Karnataka,India,backendFinal
Senior Software Engineer,Allstate,6.5,"Systems Design, Continuous Integration (CI), Go (Programming Language), REST APIs, Data Structures, Amazon Web Services (AWS), MySQL, C (Programming Language), Microservices, Docker, Kubernetes, ASP.NET MVC, Model-View-Controller (MVC), .NET Framework, ASP.NET, C#, AJAX, golang",B.E.,Pesit Bangalore south campus,"go(Basic), Problem solving",Bengaluru,Karnataka,India,backendFinal
Senior Consultant,EY,6.8,"Code Review, Debugging Code, REST APIs, Java Application Development, Software Development Life Cycle (SDLC), Test Estimation, Defect Tracking, Bitbucket, JUnit, Spring Boot, Java, COBOL, Job Control Language (JCL), Easytrieve, Android Development, Core Java, C (Programming Language), HTML, SQL, VSAM",Bachelor of Technology - BTech,Banasthali Vidyapith,"MongoDB with Java Spring Boot & Spring Framework, ITIL Foundation Certificate",Bengaluru,Karnataka,India,backendFinal
Senior Software Engineer,Wells Fargo,7.9,"Core Java, Object-Relational Mapping (ORM), Spring MVC, Representational State Transfer (REST), Code Review, Design Patterns, JSON, Object-Oriented Programming (OOP), Gradle, Problem Solving, Debugging, Application Development, Databases, Model-View-Controller (MVC), Web Applications, Training Documentation, Unit Testing, Back-End Web Development, Spring Security, Analytical Skills, Communication, Software Development, Web Services, REST APIs, SOAP, Spring Batch, SQL, Microsoft Azure, JMS, Git, Microservices, Java, Spring Framework, Apache Camel, Hibernate, Computer Science, maven, Spring Boot",Bachelor of Engineering - BE,UIT RGPV,Microsoft Certified: Azure Fundamentals,Bengaluru,Karnataka,India,backendFinal
Software Engineer,1TX,2.9,"Microservices, Amazon Web Services (AWS), Kubernetes, PostgreSQL, Java 8, Back-End Web Development, spring orm, Spring Boot, Design Patterns, REST APIs, Spring MVC, Database Management System (DBMS), Microsoft SQL Server, pgAdmin, MySQL, Application Programming Interfaces (API), Representational State Transfer (REST), JavaScript, jQuery, Bootstrap (Framework), Node.js, Express.js, SQL, MongoDB, HTML, Java, Cascading Style Sheets (CSS)",Bachelor of Engineering - BE,"ATME College of Engineering, Mysuru",,Bengaluru,Karnataka,India,backendFinal
Junior Software Engineer,Nextpoint,2.2,"storybook , Ruby on Rails, MERN Stack, TypeScript, Flask, openAI, Python (Programming Language), Django, Web Scraping, FastAPI, React.js, JavaScript, Data Structures, HTML, Cascading Style Sheets (CSS), Amazon Web Services (AWS), Object-Oriented Programming (OOP), C++, C (Programming Language), Linux, PostgreSQL, Regular Expressions, Bootstrap, jQuery, Digital Marketing, Google Analytics",Bachelor of Technology - BTech,Panipat Institute of Engineering and Technology,"Learn Ansible Basics - Beginners Course, Docker Training Course for the Absolute Beginner, Learning Linux Basics Course , DevOps Pre-Requisite Course, PCAP - Python Certification Course, Python Entry Level Programmer Certification, Elements Of AI, The Fundamentals of Digital Marketing, Advanced Google Analytics, Google Analytics for Beginners , Google Analytics Individual Qualification, Waze Ads Fundamentals",Bengaluru,Karnataka,India,backendFinal
Software Engineer,SeeMyMachines,4.6,"Dropwizard, MongoDB, Mongoose OS, Thymeleaf, Postman API, JDK, Databases, Data Structures, JavaScript, HTML, css, GitHub, Java, Swagger API, Spring Boot, MySQL, Backend, Full-Stack Development, Skill Development, SQL, Java Development",BACKEND JAVA DEVELOPING,Masai,,Bengaluru,Karnataka,India,backendFinal
Software Engineer,PhonePe,3.4,"Algorithms, Spring Boot, MySQL, MongoDB, Node.js, Java, JavaScript, C++, React.js, Data Structures",Bachelor of Technology - BTech,National Institute of Technology Silchar,,Bengaluru,Karnataka,India,backendFinal
Software Engineer,Microsoft,5.8,"Oracle Database, Eclipse, HTML, Cascading Style Sheets (CSS), Microservices, Scala, Spring Boot, Azure Kubernetes Service (AKS), C#, Software Development Life Cycle (SDLC), Public Speaking, Leadership, Object-Oriented Programming (OOP), F#, Azure Kusto, Linux, Shell Scripting, Back-End Web Development, Core Java, Computer Networking, Microsoft Azure, Go (Programming Language), REST APIs, Java, Spring Framework, C++, Data Structures and Algorithms, PL/SQL, Camunda, Web Development, SQL, Python (Programming Language), JavaScript",,,"Microsoft Certified: Azure Fundamentals, Microsoft Technology Associate: Java, Cisco Certified Network Professional (CCNP)",Bengaluru,Karnataka,India,backendFinal
Software Engineer,CARS24,3.9,"Datadog, Engineering, Server Side, Cassandra, PostgreSQL, Apache Kafka, Object-Oriented Programming (OOP), Flask, Python (Programming Language), Amazon Web Services (AWS), Redis, Microservices, Reactive Programming, NoSQL, Spring Boot, Java, Algorithms, Web Development, MySQL, HTML5, REST APIs, Spring Framework, Git, Back-End Web Development, Scala, MongoDB, Play Framework, Software Development, Data Structures, Functional Programming",Bachelor's degree,Motilal Nehru National Institute Of Technology,SQL for Business Analysts,Bengaluru,Karnataka,India,backendFinal
Lead Software Engineer,Informatica,6.5,"Java Development, Amazon Web Services (AWS), Software Development, Python (Programming Language), Spring Boot, Algorithms, Low-Level Design, Systems Design, Microservices, NoSQL, Back-End Web Development, Computer Networking, Robotics, Machine Learning, Data Structures, Bitbucket, Elasticsearch, Elastic Stack (ELK), Database Management System (DBMS), C, Core Java, Java Web Services, Android Development, Java, Microsoft Office, MySQL, HTML, SQL, JavaScript, C++, Microsoft Excel, Microsoft Word, PowerPoint",Master of Technology - MTech,"Indian Institute of Technology, Guwahati","AMCAT Certified Business Analyst, AMCAT Certified Data Processing Specialist, AMCAT Certified Software Engineer - IT Services, AMCAT Certified Software Engineer - Product, AMCAT Certified in English Comprehension, Advance Java, Sat-Bot, Java with android",Bengaluru,Karnataka,India,backendFinal
Software Engineer II,Thermo Fisher Scientific,6.3,"Kibana, Splunk Enterprise, JUnit, PostgreSQL, Groovy, Amazon Web Services (AWS), Apache Kafka, Apache Superset, Software Development, Java, Spring Boot, SQL, Agile Methodologies, Data Visualization, Data Structures, Python (Programming Language), Microsoft Power BI, Tableau, Microsoft SQL Server, MySQL, C#, JavaScript, ASP.NET Core, HTML5, Cascading Style Sheets (CSS), Angular 8, Microsoft Excel, Microsoft Word, Microsoft PowerPoint, ASP.NET, Matlab, Unix, GraphQL, Jenkins, Teamwork, ASP.NET Web API, TypeScript, Android Studio, Spring MVC, Spring Framework",Bachelor of Technology - BTech,"College of Engineering & Management, Kolaghat","Advanced DAX for Microsoft Power BI Desktop, Microsoft Power BI - A Complete Introduction [2021 EDITION], R Programming A-Z™: R For Data Science With Real Exercises!, Tableau 2020 A-Z: Hands-On Tableau Training for Data Science, 2020 Complete Python Bootcamp From Zero to Hero in Python, Secure Coding Basics: Web API (REST) Developers, Secure Coding Basics: Web Application Developers (Back-End), The Complete ASP.NET MVC 5 Course, C# Advanced Topics: Prepare for Technical Interviews, C# Basics for Beginners: Learn C# Fundamentals by Coding, C# Intermediate: Classes, Interfaces and OOP",Bengaluru,Karnataka,India,backendFinal
Senior Software Engineer,PwC,5.9,"Java, MySQL, Hibernate, HTML, css, Core Java, Spring Boot, Microservices",Bachelor of Engineering - BE,"Jawaharlal Nehru Technological University, Anantapur",,Bengaluru,Karnataka,India,backendFinal
Software Development Engineer,Razorpay,1.0,"Go (Programming Language), Kubernetes, Grafana, Microservices, Computer Science, Algorithms, Data Structures, Node.js, Database Management System (DBMS), Operating Systems, Postman API, Firebase, Docker, GitHub, Object-Oriented Programming (OOP), MongoDB, Express.js, React.js, Problem Solving, MySQL, Testing, Communication, HTML, Python (Programming Language), JavaScript, C++, Cascading Style Sheets (CSS)",Bachelor of Engineering - BE,Ramaiah Institute Of Technology,,Bengaluru,Karnataka,India,backendFinal
Associate - Technology ,Northern Arc Capital,2.9,"Spring Boot,   backend, psql, React Hooks, Hooks, Full-Stack Development, Web Pages, React.js, User Interface Design, Express.js, Angular, Web Technologies, Problem Solving, RDBMS, Application Programming Interfaces (API), Programming, Object-Oriented Programming (OOP), Back-End Web Development, HTML, Web Development, Redux.js, JSON Web Token (JWT), Front-End Development, Document Object Model (DOM), Responsive Web Design, Bootstrap, HTML5, Cascading Style Sheets (CSS), MERN Stack Development (MongoDB, Express.js, React.js, Node.js), Front-end Development (HTML, CSS, JavaScript), Back-end Development ( APIs, server-side programming), basics of angular, Java, sql",Bachelor of Engineering - BE,Sir M Visvesvaraya Institute Of Technology,,Bengaluru,Karnataka,India,backendFinal
Software Development Engineer 2,FICO,5.1,"GCP, Spring MVC, Spring Data, REST APIs, Unit Testing, Object Oriented Design, Microservices, Spring Boot, MongoDB, Jenkins, RabbitMQ, C++, Java, MySQL, Algorithms, Object-Oriented Programming (OOP), HTML, PHP, SQL, Database Management System (DBMS), Microsoft Excel, Microsoft PowerPoint, JavaScript, Back-End Web Development",Bachelor of Technology - BTech,Motilal Nehru National Institute Of Technology,"JAVA, SQL",Bengaluru,Karnataka,India,backendFinal
Software Engineer,Xylem India,2.4,"Amazon Web Services (AWS), Datadog, Sumologic, MongoDB, Zuora Billing, Payment Integration, Payment Gateways, Java Development, Data Structures, Spring MVC, Kubernetes, Spring Framework, GitHub, Git, Software Development Life Cycle (SDLC), Data Collection, MS SQL, pgAdmin, Apache Tomcat, Microsoft SQL Server, REST APIs, Workbench, Timescale DB, Microservices, Database Servers, Web Servers, Spring Boot, PostgreSQL, Apache Kafka, GraphQL, Postman API, MySQL, Confluence, Strategy, Leadership, Problem Solving, Communication, Management, Engineering, C (Programming Language), Core Java, Python (Programming Language), SQL, Java, Training, Team Leadership, JavaScript, HTML, Cascading Style Sheets (CSS), Document Object Model (DOM), API, J2EE, Java Database Connectivity (JDBC), Servlets",Bachelor's degree,Nitte Meenakshi Institute of Technology,Introduction to Programming for Beginners Master the C program,Bengaluru,Karnataka,India,backendFinal
Senior Software Engineer,Subex,2.2,"FastAPI, REST API Development, Pydantic, CRUD Operations, JWT Authentication, OAuth2, Docker, CI/CD, API Integration, Agile Technologies, SQLAlchemy, Algorithm Development, Flask, Web Development, Databases, API Development, Version Control, Deployment, ETL Tools, Regression Testing, Telecommunications Billing, Operations Support, Engineering, Oracle Database, PostgreSQL, Cypress, Python, Robot Framework, Automation Testing, Partner Settlement, Route Optimization, Troubleshooting, Scripting, Pycharm, pytest, Test Automation Frameworks, Software Development Life Cycle (SDLC), MSQL, Software Requirements, Computer Science, System Requirements, Bug Tracking, Java, Playwright , Test Automation Tools, Test Scripts, QA Automation, JavaScript, Design Patterns, Software Development, Low-Level Design, Data Structures, Problem Solving, Algorithms, Spring MVC, Spring Framework, Model-View-Controller (MVC), REST APIs, Spring Boot, Microservices, Core Java, Quality System, Product Quality, XML, Unix, Postman API, Defect Management, Test Execution, Software Testing Life Cycle (STLC), Selenium, Test Planning, Quality Assurance, Test Validation, Software Testing, Test Cases, Python (Programming Language), Agile Methodologies, Business Support Systems (BSS), End-to-end Testing, ETL Testing, Telecom BSS, Functional Testing, System Testing, Test Design, Manual Testing, Test Automation, API Testing, Service-Level Agreements (SLA), Shell Scripting, APIs, Jira, Apache NiFi, Kubernetes, Extract, Transform, Load (ETL), Linux, SQL",Bachelor of Engineering - BE,New Horizon College of Engineering,Understanding APIs and RESTful APIs Crash Course,Bengaluru,Karnataka,India,backendFinal
Software Engineer - L2,Sibiliti,4.0,"Cascading Style Sheets (CSS), HTML, Jira, Java, Spring Boot, PostgreSQL, Apache, Cassandra",Bachelor of Engineering - BE,Kongunadu College of Engineering and Technology,,Bengaluru,Karnataka,India,backendFinal
Associate,JPMorgan Chase & Co.,12.2,"Java, Core Java, JavaServer Pages (JSP), Java Enterprise Edition, Java Web Services, Hibernate, Spring MVC, Spring Framework, Spring Boot, Data Structures, JPA, Microservices, RabbitMQ, Spring Integration, SQL, Struts, Tomcat, OAuth, Apache Kafka",,Visvesvaraya Technological University,,Bengaluru,Karnataka,India,backendFinal
Software Engineer,Renewin Technologies,0.6,"Kubernetes, Maven, MySQL, Core Java, C (Programming Language), Java, Spring Boot, MongoDB, Software Design, Low-Level Design, High-Level Design",Bachelor's degree,Godutai Women's Engineering College,,Bengaluru,Karnataka,India,backendFinal
