current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Security Analyst I,ConnectWise,4.0,"Technical Support, EDR,  Essential 8, Linux, Essential 8, Risk Assessment, SentinelOne , JumpCloud, Forensic Psychology, Question document investigation, Digital Forensics, Cybersecurity, Network Security, CISSP training , Information Security",Master of Science - MS,Dr MGR Educational and Research Institute,"CompTIA Security+, Ethical hacking training , ISO/IEC 27001 Information security Associate , NDE, CISSP training , Server authentication using Express and NodeJS, Server authentication using Express and nodeJS, Ethical hacking training , Certification course on forensic science , Information security awareness ",Bengaluru,Karnataka,India,security_analyst
Analyst,KPMG,1.7,"Burp Suite, Network Security Testing, Metasploit, Penetration Tester, Kali Linux, Database Management System (DBMS), Networking, Core Java, Core Python, Penetration Testing, Ethical Hacking, Information Security, Network Security, Threat & Vulnerability Management, Cybersecurity, Information Security Awareness, Malware Detection, Social Engineering, Network Traffic Analysis, SQL Injection, Cloud Security, Cryptography, Wireless Networking, Python (Programming Language), Java, SQL, Vulnerability Assessment, Linux, AI Governance",Masters,Jain (Deemed-to-be University),"Leveraging AI for Governance, Risk, and Compliance, IT Specialist - Network Security, Become an Ethical Hacker, Ethical Hacking: Cloud Computing, Ethical Hacking: Cryptography, Ethical Hacking: Hacking Web Servers and Web Applications, Ethical Hacking: Mobile Devices and Platforms, Ethical Hacking: SQL Injection, Ethical Hacking: Wireless Networks, Career Essentials in Cybersecurity by Microsoft and LinkedIn, Cybersecurity Awareness: Cybersecurity Terminology, Cybersecurity Foundations, Ethical Hacking: Denial of Service, Ethical Hacking: Enumeration, Ethical Hacking: Evading IDS, Firewalls, and Honeypots, Ethical Hacking: Footprinting and Reconnaissance (2016), Ethical Hacking: Hacking IoT Devices, Ethical Hacking: Introduction to Ethical Hacking, Ethical Hacking: Scanning Networks, Ethical Hacking: Session Hijacking, Ethical Hacking: Sniffers, Ethical Hacking: Social Engineering, Ethical Hacking: System Hacking, Ethical Hacking: The Complete Malware Analysis Process, Ethical Hacking: Vulnerability Analysis, The Cybersecurity Threat Landscape, Network Penetration Tester Level 2, Linux, Network Penetration Tester Level 1, RDBMS, Web App Fundamentals, Web Application Penetration Tester Level 1, CCNA Essentials, Introduction to Programming Using Java, Introduction to Programming Using Python, Web Application Penetration Testing Level 2",Bengaluru,Karnataka,India,security_analyst
Security Analyst,Optiv,13.1,"Microsoft Office, Management, Microsoft Excel, Microsoft Word, Research, PowerPoint, Sales, Training, Photoshop, Networking, System Administration, Operating Systems, Windows 7",Diploma in Information Science & Technology,Ramaiah Institute Of Technology,"Foundations of Operationalizing MITRE ATT&CK, Introduction To FIN6 Emulation Plans, IBM QRadar SIEM Foundation, CompTIA Cybersecurity Analyst (CySA+), Cisco Certified Network Associate (CCNA)",Bengaluru,Karnataka,India,security_analyst
Senior Security Analyst,NANO TECH E SERVICES,2.8,"Soc analyst , Azure Sentinel, Trend Micro Anti-Virus, Azure Active Directory, Cloud Security, Security Monitoring, Security analyst , Soc, Rapid 7, Microsoft Azure, Microsoft Defender, Communication, IBM QRadar, Log Analysis, Siem , Splunk, Vulnerability Management, Crowdstrike, Palo Alto , EDR, Incident Management, Trend Micro",Gitam university ,Zp-school kummarakonduru,,Bengaluru,Karnataka,India,security_analyst
SOC Analyst,Secureinteli Technologies,4.9,"IBM QRadar, Optimus , Malwarebytes, Splunk, AlienVault, Log Analysis, Firewalls, IPS, Wireshark, ALERT ANALYSIS, Incident Response, Cyber Attack, Vulnerability, Virus Total, Jira, Sevicenow, Confluence, Slack",Bachelor of Engineering - BE,GM Institute of Technology,"MICROSOFTAZURE ESSENTIAL, Certified Ethical Hacker (CEH), Security Analyst, AWS Cloud assement, CCNA, Cronical Technical Training",Bengaluru,Karnataka,India,security_analyst
Security Analyst,Hewlett Packard Enterprise,2.5,"DLP, Amazon Web Services (AWS), Incident Response, Elastic Stack (ELK), Kusto Query Language (KQL), Vulnerability Management, IT Service Management, Security Information and Event Management (SIEM), EDR, Root Cause, Triage, Security Monitoring, High-Pressure Situations, Critical Thinking, Security Operations, Ethical Hacking, Cybersecurity, English, Communication, Project Management, Strategy, Training, Problem Solving, Leadership, C++, C (Programming Language), Network Security",Post graduation diploma ,Centre for Development of Advanced Computing (C-DAC),,Bengaluru,Karnataka,India,security_analyst
Associate III cloud Infrastructure Engineer ,UST,12.0,"CCure, Security firewall, Strategic Planning, Penetration Testing, Vulnerability Assessment, Information Security, Security Information and Event Management (SIEM), IBM QRadar, DLP, Dynamic Host Configuration Protocol (DHCP), Computer Network Operations, Domain Name System (DNS), Network Security, Service Desk, Software Installation, Cybersecurity, Virtual Private Network (VPN), Active Directory, Antivirus, Remote Desktop, Python (Programming Language), Linux, Microsoft Office, Forensic Toolkit (FTK), Forensic Analysis, Wireshark, IDS, Phishing, Anti-phishing, Force point DLP, O365 DLP, Symantec DLP",Postgraduate Diploma,National College of Ireland,"AWS Certified Cloud Practitioner, Certified Ethical Hacker (CEH)",Bengaluru,Karnataka,India,security_analyst
Information Security Analyst,Deutsche Bank,9.9,"Auditing, Information Security, Governance, Risk Management, and Compliance (GRC), User Management, Identity & Access Management (IAM), Active Directory, Office 365, linux, perl, service now, Service-Level Agreements (SLA)",,University of Mumbai,,Bengaluru,Karnataka,India,security_analyst
Analyst,Kyndryl,1.3,"Routers, Firewalls, Network Switches, Risk Management, ISO 27001, ITIL Framework,  Risk Assessment & Impact Analysis, CMDB, Stakeholder Management, Compliance & Auditing, LaTeX, CMOS, Adobe Illustrator, Networking, Java, Web Development, Figma (Software), Linux, Google Cloud Platform (GCP), Object-Oriented Programming (OOP), 8051 Microcontroller, Microsoft Excel, MySQL, C (Programming Language), Python (Programming Language), Algorithm Design, C++, HTML5, Internet of Things (IoT), Data Science, SQL",Bachelor of Engineering - BE,REVA University,"AWS Certified Cloud Practitioner , Networking Essentials., Networking basics, Baseline: Data, ML, AI , Build and Secure Networks in Google Cloud, Google Cloud Fundamentals for AWS Professionals, Create and Manage Cloud Resources, Google Cloud Fundamentals: Core Infrastructure, Google Cloud Essentials, Kubernetes in Google Cloud,  Fundamentals of Network Security,  Interfacing with the Arduino,  Introduction to Cybersecurity.,  The Entrepreneurships guide for beginners, AWS for Beginners, C for Everyone: Programming Fundamentals, Cybersecurity Essential, Entrepreneurship Strategy: From Ideation to Exit, Fundamentals of Cloud Security, Google Cloud Big Data and Machine Learning Fundamentals, Introduction to the Internet of Things and Embedded Systems, Java Programming: Solving Problems with Software, Mastering Data Analysis in Excel",Bengaluru,Karnataka,India,security_analyst
Senior Information Security Analyst,Wells Fargo,12.0,"Relationship Development, Customer Satisfaction, Customer Experience, Regulatory Compliance, Regulatory Reporting, Vendor Management, Role-Based Access Control (RBAC), ITIL, Access Management, Incident Management, Service Desk, Technical Support, Cisco Systems Products, Customer Service, Citrix support, Telephony Support",Bachelor of Engineering - BE,Coorg Institute Of Technology,"Verified International Academic Qualifications, ITIL in IT service management ",Bengaluru,Karnataka,India,security_analyst
Information Security Analyst,TEKsystems,3.1,"Access Management, Incident Response, LDAP Administration, LDAP, Password Management, Incident Management, ServiceNow, Service-Level Agreements (SLA), Bloomberg, Bloomberg Terminal, Active Directory, Information Security, Identity and Access Management (IAM)",,East West Institute Of Technology,,Bengaluru,Karnataka,India,security_analyst
Cyber Security Analyst,Wipro,2.6,Zscaler email security ,Bachelor of computer Application,"Maulana Abul Kalam Azad University of Technology, West Bengal formerly WBUT",,Pune,Maharashtra,India,security_analyst
Information Security Analyst,Tata Consultancy Services,3.7,"MS365, Vulnerability Management, Splunk, Security Operations Center, SQL, CATIA, AutoCAD, SOLIDWORKS, Python (Programming Language)",Bachelor of Engineering - BE,Jain (Deemed-to-be University),,Bengaluru,Karnataka,India,security_analyst
,,,,,New Horizon College of Engineering,,Bengaluru,Karnataka,India,security_analyst
Sr Cyber Security Specialist,SISA,6.7,"Information Security Analysis, Cybersecurity Tools, Cyber Security Risk, Web Application Security, Incident Management, Incident Handling, Cybersecurity Incident Response, Cybersecurity Incident Management, Security, Cybersecurity, Security Information and Event Management (SIEM), Information Security, ArcSight, Event Management, cyber security, Network Security, Firewalls, Problem Solving, IBM QRadar, Log Analysis, Soc operations, Log Management, Cyber Defense, Security Operations Center, Splunk, SOAR, Data Security, Security Incident Response, DLP, ePolicy Orchestrator, Threat Management, Incident Response, Security Analysis, IT Security Operations, Cyber Operations, Information Security Management, SIEM",Bachelor of computer science,"Bapuji Institute of Hi-tech Education, Davangere",,Bengaluru,Karnataka,India,security_analyst
SOC Analyst,ACPL Systems Pvt. Ltd.,4.7,"Network Architecture, Firewalls, OSI Model, Internet Protocol (IP), Networking, Transmission Control Protocol (TCP), Operating Systems",Bachelor of Engineering - BE,Sai Vidya Institute of Technology,"MITRE ATT&CK Defender™ ATT&CK® Threat Hunting, Identifying web attacks through logs, MITRE ATT&CK Defender™ (MAD) ATT&CK® Fundamentals Badge Training, Webcast-Using cyber threat intelligence for threat hunting, Welcome to cybrary, Introduction to Cyber security",Bengaluru,Karnataka,India,security_analyst
Security Analyst,HCLTech,3.9,"ITIL (Information Technology Infrastructure Library), Major Incident Management (MIM), ServiceNow, Security Information and Event Management (SIEM), Security Operations Center (SOC), Threat Detection and Analysis, Vulnerability Management, SOC Analyst, Problem Management, Capacity Management, Incident Management, Critical Incident Response, Cyber Operations",Bachelor of computer sciences,"SRI SATYA SAI UNIVERSITY OF TECHNOLOGY & MEDICAL SCIENCES, SEHORE",,Bengaluru,Karnataka,India,security_analyst
SOC Analyst,Virtusa,3.5,"Windows Security, Active Directory, Remediation, Incident Investigation, Cybersecurity Incident Response, Information Technology, English, Agile Software Development, EDR, Email Security, IT Escalation, Service-Level Agreements (SLA), Digital Authentication, System Configuration, Data Privacy, Presentations, Kusto Query Language (KQL), Problem Solving, Security Operations, Azure Sentinel, Endpoint Security, Proofpoint",B.E,Saveetha Engineering College,,Bengaluru,Karnataka,India,security_analyst
Security Analyst,Cloudzen365 pvt ltd,3.3,"DDoS, phishing analysis, security analyst, Soc monitoring , Microsoft Defender, Entra id, Header analysis , Phishing , Brute force , Wazuh, Grafana, IRIS, Security Monitoring, Analytical Skills, Incident Response, Email Security, EDR, Information Technology, Active Directory, Sentinel , Connect wise , Monitoring , Siem, Azure Sentinel, Splunk, Cybersecurity, Phishing, Malware Analysis, Incident Handling",Computer Science,Sri Krishnadevaraya University,,Bengaluru,Karnataka,India,security_analyst
Security Analyst,EY,4.2,"Reverse Engineering, Malware Analysis, CUDA",B.E,B. M. S. College of Engineering,,Bengaluru,Karnataka,India,security_analyst
Information Security Analyst,FinLeads Tavant,13.2,"Proxy Server, Proxy, Reverse Proxy, Risk Management, Internal Control Evaluation, Financial Auditing, Operational Efficiency Assessment, Compliance Auditing, Strategy Alignment, Understanding Cloud Concepts, Core Microsoft 365 Services and Concepts, Security, Compliance, and Privacy in Microsoft 365, Security, Compliance, Understanding Microsoft 365 Licensing and Subscriptions, Security, Compliance, Collaboration and Productivity Tools, Security, Compliance, Mobile Device Management (MDM) and Endpoint Management, Security, Compliance, Azure Active Directory Basics, Security, Compliance, Managing and Configuring Microsoft 365, Audit Planning and Execution, Risk Assessment and Management, Understanding of ISO 27001:2022 Standards, Nonconformity Identification and Reporting, Understanding of Compliance Requirements, Improvement of ISMS, Vectors, Intrusion Detection, Cybersecurity Incident Response, IT Audit, Presentations, Security Consulting, Team Assessment, Bug Tracking, ISO Standards, Burp Suite, OWASP, Wireshark, Nmap, Incident Response, System Configuration, Windows, Computer Networking, Security Information and Event Management (SIEM), Security Operations Center, Risk Assessment, Security Monitoring, Security, Cloud Security, Regulatory Compliance, Problem Solving, Cyber Threat Intelligence (CTI), Vulnerability Management, Payment Card Industry Data Security Standard (PCI DSS), ISO 27001, Security Controls, Computer Science, Information Technology, Ethical Hacking, Communication, English, Security Awareness, Penetration Testing, Network Security, Security Operations, Report Writing, Red Team, Cyber-security, Application Security, Data Privacy, Information Security, Vulnerability Assessment, Hypertext Transfer Protocol (HTTP), Phishing, Threat Analysis, Malware Analysis, Vulnerability, Cybercrime Investigation, Cybersecurity",Master's degree,Mangalore University,"Netskope security cloud training , Internal Audit For Management , ISO 27001:2022 Lead Auditor Course , Microsoft 365 Certified: Fundamentals",Bengaluru,Karnataka,India,security_analyst
,,,"Security Operations Center, Networking, Cybersecurity, Splunk ",Bachelor of Computer Application,Manipal University Jaipur,"Certified Ethical Hacker (CEH), Security Analyst, Advanced Diploma in Cyber Defense, Phishing Expert, Phishing Expert, SIEM 101, SOC Member, Certified Appsec Practitioner, Bachelors in English Language and Literature",Bengaluru,Karnataka,India,security_analyst
Information Security Analyst,Rupeek,4.2,"Communication, Troubleshooting, Ticketing Systems, Incident Management, Blockchain, Node.js, Kali Linux, Amazon Web Services (AWS), Burp Suite, Data Privacy, OWASP, Cybersecurity, IT Security Assessments, Threat & Vulnerability Management, Governance, Risk Management, and Compliance (GRC), Research methodology , Management Accounting, Environmental Awareness, Disaster Management , Solidity, Smart Contracts, Cryptography, Ethereum, Remix IDE, Ganache, Truffle Framework, Decentralized Applications (DApps), Secure Code Review, Risk Management, Vulnerability Assessment, Incident Response, Penetration Testing, Hyperledger Fabric, Jira Service Desk, Salesforce.com Administration, Postman API, Grafana, JSON, MongoDB, Process Automation, JavaScript, Java, Python (Programming Language), C++, C, Xcode, HTML, English, MySQL, Web Development, Human Resources (HR), Jira, Agile Project Management, Dependency Management, GitHub, Security Testing, Software Development",Master of Business Administration - MBA,DR. D. Y. Patil Vidyapeeth (DPU),"Static Application Security Testing, GitHub Dependabot: Dependency Updates, Agile Project Management with Jira Cloud: 1 Projects, Boards, and Issues, Professional Certificate Program In Blockchain",Bengaluru,Karnataka,India,security_analyst
Security Analyst,Heldox technologies ,3.5,"Mitre attack, SOC, Reverse Engineering, Security, XSOAR, Intrusion Detection, Security Monitoring, Cyber Security Risk, Information Security, Palo Alto Networks, EDR, ueba, Vulnerability Assessment, Vulnerability Scanning, Cyber Threat Intelligence (CTI), Cyber Threat Hunting (CTH), Compliance Auditing, Audio Visual System Design, Cybersecurity Incident Response, Cybersecurity, Information Security Engineering, Investigation, Threat Analysis, Windows Firewall, Linux, SOC 1, Incident Investigation, Engineering Education, Network Protocols, Information Security Awareness, Email Analytics, Identity and Access Management (IAM), Splunk Enterprise Security, Compliance Testing, Vulnerability Assessment and Penetration Testing (VAPT), Vulnerability Management, Incident Response, Security Incident & Event Management, Tenable Nessus, Security Information and Event Management (SIEM), Malware Analysis, Networking Technology, Programming, C, Java, Data Structures, Algorithms, Microsoft PowerPoint, Microsoft Office, Operating Systems, SQL, HTML, Cascading Style Sheets (CSS), JavaScript, Python (Programming Language)",Bachelor of Engineering - BE,"Bapuji Institute of Engineering & Technology, DAVANAGERE","C programming , Certified Ethical Hacker (CEH), Java, Microsoft office, Splunk Certifications",Bengaluru,Karnataka,India,security_analyst
IT Security Analyst,FIS,4.2,"Netskope, Ironport, PAM, Microsoft Entra ID, Phishing, Network Monitoring Tools, Cortex, ServiceNow, Cisco ASA, TED, Security Monitoring, Iboss, Redcanary , SOAR, Microsoft Defender, NeXpose, Crowdstrike Falcon, Azure Sentinel, LogRhythm, SIEM Implementation , Integration, Aisaac, Logger, ArcSight, Apache Flink, Rabbitmaq, Apache NiFi, JavaScript, Linux, Communication, OSI Model, Networking, Networking devices , Phishing analysis , Cyber Attacks , Cybersecurity, Antivirus, SIEM, IBM QRadar, Vulnerability Assessment, Splunk, Firewalls, IDS, IPS, Malware Analysis, Cyber Kill Chain Framework, OWASP",Bachelor of Engineering - BE,Bangalore Institute of Technology,"Endpoint Detection and Response , Vulnerability Management Detection and Response",Bengaluru,Karnataka,India,security_analyst
Program Intern,Great Learning,2.6,"Vulnerability, Information Security, Network Security, Security, Security Operations, phishing analysis",,,,Bengaluru,Karnataka,India,security_analyst
Security Analyst,Voya India,3.9,"Splunk, Endpoint Security, Phishing email analysis, Vulnerability Management, Microsoft Azure, Proofpoint, Information Security, Malware Analysis, Security Operations Center, SOC 1",Master of Computer Applications - MCA,Jawaharlal Nehru Technological University Kakinada (JNTUK),,Bengaluru,Karnataka,India,security_analyst
Security Analyst at Atos,Atos,3.2,"Security Operations Center, Arcsight, Azure sentinal, Microsoft Defender, Proofpoint, Security monitoring, EDR, Cyber Threat Hunting (CTH), DLP, Endpoint Security, Palo Alto Networks, Threat Analysis, Vulnerability Assessment, Incident Management, Incident Response, Qradar, Information Security, Email Security, Malware Analysis, Cybersecurity, Vulnerability Management, Splunk, Cyber Threat Intelligence (CTI), SOC, SIEM, Log Analysis, IT Security",Cambridge Institute of Technology,New Baldwin Residential School,,Bengaluru,Karnataka,India,security_analyst
Cyber Security Analyst – Application Security,Wabtec Corporation,7.5,"Automation, Infrastructure Security, Web Application Security, Application Security, Ransomware and Malware Analysis, Ethical Hacking and VAPT, Hunting, Investigation, Phishing, DevSecOps, Cybersecurity, Cloud, Scripting, Agile Project Management, Azure DevOps, Containers, Kubernetes, Data Structures, C++, PL/SQL, C#, HTML, Powershell, Microsoft Azure, Database Management System (DBMS), Pattern Recognition, Containerization Tools, CI/CD Tools, Blackduck, Coverity, Git, Microsoft Power BI",Advanced Executive Program in Cybersecurity,International Institute of Information Technology Bangalore,"Azure Devops Fundamentals, Kubernetes, Docker",Bengaluru,Karnataka,India,security_analyst
Sr.project engineer,Wipro,5.8,"Crowdstrike Falcon, WIZ, Rapid7, XDR, NIST, Ethical Hacking, Cyber, FTP, Secure Shell (SSH), Cloud Security, OWASP, Security Operations Center, Cybersecurity Incident Response, Microsoft 365, Cybersecurity Tools, Presentation Skills, Microsoft Excel, Incident Management, ArcSight, Azure Sentinel, Microsoft Defender, Intrusion Detection, IBM QRadar, Transmission Control Protocol (TCP), Internet Protocol Suite (TCP/IP), Security Investigations, Security Monitoring, Events, Security Operations, Learning, Cyber-security, Documentation, Incident Handling, Cybersecurity, Problem Solving, Information Technology, Security Incident Response, Incident Response, IPS, System Monitoring, Log Analysis, Security Information and Event Management (SIEM), Critical Thinking, Assisting Others, Computer Science, Malware Analysis, Analytical Skills, Information Security, Engineering, English, Research Skills, Training, Communication, Microsoft Outlook",Bachelor of Engineering - BE,Sri taralabalu jagadguru institute of technology ranebennur,Microsoft Certified: Azure Fundamentals,Bengaluru,Karnataka,India,security_analyst
Cyber Security Analyst,ABB,2.7,"Security Research, Cyber Security Risk, Risk Assessment, Research and Development (R&D), Documentation, Network Security, Data Analysis, Vulnerability Assessment, Presentation Skills, Leadership, VAPT, Cybersecurity, Communication, Analytical Skills, Presentations, Problem Solving",Msc in Cyber Security,National forensic science University,,Bengaluru,Karnataka,India,security_analyst
Security Analyst,Novo Nordisk,2.8,"Endpoint Security, Trellix, Microsoft Defender, TACC, DLP, Statistical Data Analysis, Search Engine Optimization (SEO), Digital Marketing Media, Machine Learning, Classification Models, Python, Pandas, NumPy, Data Cleaning, Data Analysis, Extract, Transform, Load (ETL), Data Integration, SQL, Python (Programming Language), Tableau, JMP, Problem Solving, Microsoft Excel, Analytical Skills, Business, Business Analysis",Master of Business Administration - MBA,M. S. RAMAIAH UNIVERSITY OF APPLIED SCIENCES,"Excel Basics for Data Analysis, Business Analysis Foundations, Agile Methodology Virtual Experience program participant",Bengaluru,Karnataka,India,security_analyst
Security Analyst,Tata Consultancy Services,5.8,"Mobile Security, Red Teaming, Threat Modeling, Application Security, Cybersecurity, Linux System Administration, Python (Programming Language), Vulnerability Assessment and Penetration Testing (VAPT), Information Security, Cloud Security, Vulnerability Management, Web Application Security, Communication, Penetration Testing, Vulnerability Assessment, Network Security, Strategy, Back-end Operations",Bachelor of Computer Application ,Dr. Ram Manohar Lohia Avadh University,,Bengaluru,Karnataka,India,security_analyst
Security Analyst  ,EY,3.3,"Threat & Vulnerability Management, Risk Management, Secure configuration Management, Security Automation, Security, compliance and identity, Microsoft Entra ID, Microsoft Security Solutions, Microsoft Compliance Solutions, Microsoft 365, Container security, Containerization, Docker, Azure Kubernetes Service (AKS), Kubernetes, Compliance Scanning, Policy Compliance, Wiz.io, Silk, Asana, ServiceNow, Security principles , Security Incident Response, Business Continuity, Business Continuity Planning, Business Continuity Management (BCM), Disaster Recovery, Disaster Response, Access Control, Network Security, Security Operations, Microsoft Office, Python (Programming Language), Microsoft Excel, k-means clustering, Data Science, Logistic Regression, Linear Regression, clustering, React.js, Tenable.io, Lansweeper, asset management , vulnerability scanning , Microsoft Power BI, asset tagging , Vulnerability Assessment and Penetration Testing (VAPT), Penetration testing , Asset Management, Qualys, Artificial Intelligence (AI), Machine Learning, Natural Language Processing (NLP), Computer Vision, Machine Learning Algorithms, Vulnerability Management, Vulnerability Scanning, Cybersecurity, Microsoft Azure, Penetration Testing, Analytical Skills, C++, SQL, Cascading Style Sheets (CSS), JavaScript, HTML5, Python, C (Programming Language), Bootstrap, MySQL, Problem Solving, Machine learning with python",Bachelor's degree,Visvesvaraya Technological University,"Microsoft Certified: Security, Compliance, and Identity Fundamentals (SC-900), Tines Advanced Certification, Tines Core Certification, Qualys Certified Specialist- Container Security, Qualys Certified Specialist - Policy Compliance, Data Visualization Bronze Badge, Microsoft Certified: Azure AI Fundamentals (AI-900), Qualys Certified Specialist- Scanning Strategies and Best Practices, Qualys Certified Specialist -VMDR, Qualys Certified Specialist- Cybersecurity Asset Management (CSAM), (ISC)2 CC (Certified in Cybersecurity), Cybersecurity Bronze Badge , Qualys Certified Specialist- Vulnerability Management, Microsoft certified- Azure fundamentals (AZ-900), Website Hacking/Penetration Testing",Bengaluru,Karnataka,India,security_analyst
Security Analyst,FireCompass,4.7,"Consulting, Security Consulting, Information Security Consulting, Project Planning, Software Implementation, Implementation , Contract Management, Enterprise Resource Planning (ERP), Security solutions, Security, OEM, OEM Management, businesss operations, Cyber Risk Management, Cyber Risk Posture, Cyber Threat Intelligence (CTI), Product Security, Information Security Management, Information Security, bug bounty, Thick client pentesting, network pentesting, Web pentesting , Cyber security Research , OSINT, Source Intelligence, Cyber Crime Intrusion , Cyber hygiene, Cyberlaw, Java, Linux, CTF player, Penetration Testing, Python (Programming Language), Microsoft Azure, GitHub, HTML, HTML5, Cascading Style Sheets (CSS), JavaScript",Bachelor's degree,Bhairab Ganguly College,"Hexnode Certified Professional, Hexnode Certified Professional - Android, Hexnode Certified Professional - Windows, Hexnode Certified Professional - iOS, Hexnode Certified Professional - macOS, Certified Ethical Hacker (CEH), Rastalabs, Certified AppSec Practitioner, Prolabs - Dante",Bengaluru,Karnataka,India,security_analyst
