current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
,,,"Quantum Information, Python (Programming Language)",Bachelor of Technology - BTech,Woxsen University,"Python Programming For Everybody, Write Professional Emails In English ",Kolkata,West Bengal,India,mlopss
AI/ML Engineer ,SAN INDUSTRIES COMPANY,2.3,"Big Data Analysis, Model Deployment, Data Analysis, TensorFlow, Data Science, Cloud Infrastructure, Virtual Machines, Artificial Intelligence (AI), Deep Learning, Natural Language Processing (NLP), Machine Learning, MLOps, Problem Solving, Data Modeling, Data Pipelines, Scripting, Analytical Skills, Kubernetes, Azure DevOps Services, Microsoft Azure, Cloud Computing, Python (Programming Language)",MSc ,"Vel's Institute of Science, Technoloyg and Advanced Studies, Chennai","Microsoft Virtual Internship, Python 101 for Data Science, Walmart USA - Advanced Software Engineering Job Simulation",Chennai,Tamil Nadu,India,mlopss
Data Engineer,Adeptmind,3.8,"AWS SageMaker, Amazon Web Services (AWS), Scrapy, Selenium, Azure Data Lake, Databricks, Lakehouse, Databricks Machine Learning, Delta Lake, Data Warehousing, FastAPI, Data Scraping, Data Engineering, Data Visualization, Data Analysis, Data Science, Azure Databricks, ETL Tools, PySpark, Problem Solving, Design, Research, Leadership, Python (Programming Language), Web Scraping, Software Development, Software Development Life Cycle (SDLC), Pandas (Software), C (Programming Language)",Bachelor of Engineering - BE,Ramrao Adik Institute of Technology,"Academy Accreditation - Generative AI Fundamentals, Academy Accreditation - Databricks Lakehouse Fundamentals",Mumbai,Maharashtra,India,mlopss
Data Operations Engineer,Appen,7.0,"Training, Teamwork, Technical Assistance, Data Pipelines, Data Ingestion, Language Modeling, Solutions Engineering, Amazon Web Services (AWS), AWS Lambda, Amazon Bedrock, Bedrock, Opensearch, Lama, Custom GPTs, ChatGPT, Gpt, GPT-3, Ollama, SLM, OpenAPI Specification (OAS), Cloud Development, GPT-4, Microsoft 365 Security, Voice of the Customer, Pandas (Software), Fine Tuning, Vector Databases, Datasets, Vector, Customer Satisfaction, SDKs, Workload Prioritization, Customer Interaction, SQL Tuning, User Management, Project Status Reporting, Reporting Requirements, 2nd Line IT Support, Customer Experience Management, Predictive Modeling, Jupyter, Tokenization, Schemas, Neuro-Linguistic Programming (NLP), Text-to-Speech, Reliability, System Architecture, Multi-Tenant Management, Business Requirements, Communication Training, Docker, Business Intelligence (BI), Grafana, MLOps, Pipelines, Risk Assessment, Fraud Analysis, Identity Fraud, Continuous Integration and Continuous Delivery (CI/CD), Linux, Kibana, Bitbucket, Microsoft Azure, E-Commerce, MySQL, Customer Relationship Management (CRM), Ticketing Systems, Ticketing, BMC Remedy Ticketing System, Auditing, Quality Auditing, IT Audit, Process Auditing, Reporting, Reporting & Analysis, Metrics Reporting, Fin-tech , Banking, Search Engine Marketing (SEM), Digital Media, Microsoft Word, Content Management, Kubernetes, Kubeflow, Pivot Tables, Tableau, Python (Programming Language), Process Improvement, Troubleshooting, SQL, Databases, HTML, Data Warehousing, Data Mining, Digital Marketing, Social Media Marketing, Search Engine Optimization (SEO), Microsoft Office, Microsoft Excel, Microsoft PowerPoint",Bachelor of Technology - BTech,"university of engineering and management,jaipur",,Hyderābād,Telangana,India,mlopss
Machine Learning Engineer,lululemon,11.4,"Windows, Microsoft Word, Telecommunications Engineering, C, Microsoft Office, Microsoft Excel, Programming, Software Testing, Selenium WebDriver, Java, Selenium Testing, TestNG, Jenkins, Manual Testing, testcase, SQL, Test Automation, Test Planning, RTM, agile, eclipse, Regression Testing, Functional Testing, Web Testing, html",Bachelor of Engineering (BE),M.S. Ramaiah Institute Of Technology,"Certified in C programming from NIIT., Cognizant certified in Selenium Knowledge assessment, Cognizant certified professional in Software Testing",Bengaluru,Karnataka,India,mlopss
Associate ML Ops Platform Engineer,ResMed,1.5,"SQL Server Reporting Services (SSRS), Microsoft Power BI, Java, Databases, MySQL, Cassandra, MongoDB, HBase, Statistical Data Analysis, Big Data, Big Data Analytics, Hadoop, MapReduce, Hive, HiveQL, PySpark, Apache Spark, Apache Kafka, Sqoop, Apache Pig, Time Series Analysis, Principal Component Analysis, Correlation Analysis, Cloud Computing, Amazon Web Services (AWS), Recommender Systems, SciPy, Statsmodels, Apache Airflow, OpenCV, Application Programming Interfaces (API), Speech Recognition, Supervised Learning, Unsupervised Learning, Seaborn, Electrical Engineering, Keras, PyTorch, Data Warehousing, Matplotlib, Linear Algebra, NumPy, Visualization, Scikit-Learn, Long Short-term Memory (LSTM), Pandas (Software), Data Analytics, Data Mining, Data Analysis, English, Problem Solving, Microsoft Excel, Analytical Skills, Research, Engineering, Presentations, C++, Python (Programming Language), SQL, Machine Learning, TensorFlow, Deep Learning, Data Science, Data Visualization, Artificial Intelligence (AI), Tableau, Convolutional Neural Networks (CNN), Recurrent Neural Networks (RNN), Computer Vision, Natural Language Processing (NLP), Reinforcement Learning, Neural Networks",PG-DBDA,Centre for Development of Advanced Computing (C-DAC),,Nagpur,Maharashtra,India,mlopss
DevOps Engineer,DehazeLabs,3.5,"Large Language Models (LLM), MLOps, Portainer, Prometheus.io, Site Reliability Engineering, Git, GitHub, Networking, Technical Architecture, Templates, CLI, Virtual Machines, Distributed Systems, Skill Development, Cloud Security, Web Application Firewalls, DigitalOcean, Infrastructure Security, Building Performance, Communication, Cluster Management, Kubernetes, Proxmox, Virtualization, Virtual Private Network (VPN), Desktop Virtualization, Docker Products, Network Administration, Firewalls, Interpersonal Skills, System Architecture, System Testing, System Deployment, System Administration, Domain Name System (DNS), Linux System Administration, Operating Systems, Linux Server, Kali Linux, Linux KVM, Linux Firewalls, Shell Scripting, Linux Network Administration, Linux, Cloud Computing, Google Cloud Platform (GCP), Amazon Web Services (AWS), Oracle Cloud, Microsoft Azure, IT Operations",Bachelor of Computer Applications - BCA,"Don Bosco College, Panjim","AWS Certified Solutions Architect – Associate, Introduction to Cybersecurity",Panaji,Goa,India,mlopss
Senior Infrastructure Engineer,Chinasoft International,17.8,"k-means clustering, Random Forest, Support vector machines, Principal Component Analysis, Data preprocessing, Supervised learning, ASP.NET MVC, ASP.NET, Microsoft SQL Server, Agile & Waterfall Methodologies, Agile Methodologies, Object-Oriented Programming (OOP), ASP.NET Core, Entity Framework, SQL Server Integration Services (SSIS), jQuery, Transact-SQL (T-SQL), KnockoutJS, Infragistics",Master of Science - MS,Deakin University,"Microsoft Certified: Azure AI Engineer Associate, Scrum Master Certified (SMC), ITIL Foundation Level, Microsoft Specialist: Programming in HTML5 with Javascript and CSS3, Microsoft Certified Technology Specialist: .NET Framework 4.0, Developing Web Applications.(MCTS), Certified Scrum Developer (CSD)",Mumbai,Maharashtra,India,mlopss
Lead Software Engineer,Q2,9.7,"Machine Learning, Artificial Intelligence (AI), Natural Language Processing (NLP), Time Series Forecasting, Python (Programming Language), Flask, JavaScript, Embedded JavaScript (EJS), Databases, HTML5, Cascading Style Sheets (CSS), Object-Oriented Programming (OOP)",b.tech,Dr MGR Educational and Research Institute,TensorFlow Developer Certificate,Bengaluru,Karnataka,India,mlopss
Senior Software Engineer,Guidewire Software,10.9,"Team Management, Amazon Redshift, Amazon Web Services (AWS), Apache Druid, Apache Hive, React.js, Azure Data Warehouse, PySpark, Google BigQuery, Vertex AI, Tableau, Apache Airflow, Google Cloud Platform (GCP), Scala, Big Data Analytics, Apache Spark, Hadoop, MySQL, Java, Spring MVC, MongoDB, Spring Boot, Python (Programming Language), Microsoft Azure, Presto, RabbitMQ, Apache Kafka, Hive",Bachelor’s Degree,RV College Of Engineering,"CORE JAVA,HTML,CSS, JAVASCRIPT",Bengaluru,Karnataka,India,mlopss
Junior Software Engineer - ML Ops,IKEA,3.2,"PyTorch, JavaScript, Computer Science, GPT-3, GPT-4, Data Visualization, MySQL, TensorFlow, Deep Learning, Data Science, Python (Programming Language), Django REST Framework, Machine Learning, Data Analysis, Statistics, Flask, MongoDB, Pandas (Software), SQL, Django/Flask, Database Queries",Computer Engineering,Chennai Institute of Technology,"Introduction to Generative AI, Intermediate SQL for Data Scientists, SQL(Intermediate), SQL(BASIC), AI and ML Course , AWS Educate Machine Learning - DeepRacer",Chennai,Tamil Nadu,India,mlopss
Associate Data Engineer,BDB.ai,2.4,"Business Insights, Microsoft Excel, Data Wrangling, Linear Regression, Deep Learning, Reporting & Analysis, Critical Thinking, Statistical Analysis, Data Cleaning, PyTorch, Keras, TensorFlow, Node.js, Feature Engineering, Regression Models, Classification, Machine Learning Algorithms, Statistical Modeling, Web Development, Programming, MySQL, Application Programming Interfaces (API), Quantitative Analytics, Modeling, Data Mining, Learning, Machine Tools, NoSQL, Server Side, Skill Development, Data Storage, Visualization, Object-Oriented Programming (OOP), Databases, JSON, REST APIs, Cascading Style Sheets (CSS), MongoDB, Back-End Web Development, Flask, Linux, Computer Vision , Git, Business Requirements, Key Performance Indicators, Data Manipulation, Information Analysis, User Requirements, Analytical Skills, Statistical Concepts, Computer Science, Applied Mathematics, Natural Language Processing (NLP), Interpersonal Skills, Datasets, Data Modeling, Predictive Modeling, Tableau, Dashboard Building, Requirement Specifications, Data Analytics, Data Collection, Statistical Data Analysis, Mathematics, Jupyter, Presentation Skills, Unstructured Data, Problem Solving, Pattern Recognition, Data Visualization, Data Annotation, Data Analysis, Analytics, Statistics, Computer Vision, Data Operations, Data Science, Machine Learning, Python (Programming Language), Project Management, English, Communication, Java, SQL",Bachelor of science ,"SIES College of Arts, Science & Commerce SION(W)","Accenture North America - Data Analytics and Visualization Job Simulation, Certified Data Scientist",Bengaluru,Karnataka,India,mlopss
Lead AI/ML Ops Engineer,Kimberly-Clark,15.5,"Go-to-Market Strategy, Data Engineering, Generative AI, Artificial Intelligence (AI), Large Language Models (LLM), Machine Learning, Azure Databricks, PySpark, Microsoft Azure, Mainframe, ETL, SDLC, Requirements Analysis, Software Development, Programming, Business Analysis, JCL, COBOL, DB2, C, PL/SQL, Oracle, XML, Java, Cognos, IBM DB2, Unix, SQL, Job Control Language (JCL), JavaScript, Python, Amazon Web Services (AWS), Informatica, Qiskit, Scala, Python (Programming Language), CICS, ETL Tools, Serena Changeman, APA, Developers, IBM Mainframe, DevOps, Quantum Computing, IBM Infosphere, Snowflake, Azure Data Factory",2009 Bachelore of Engineering,"Indira Gandhi Engineering College, Sagar-470004","Generative AI Fundamentals, Quantum Excellence, IBM Quantum Challenge 2021 Achievement - Intermediate, Introduction of Quantum Computing Course, Certificate of Proficiency - Basic of Quantum Computing using Qiskit, Certificate of proficiency - Quantum Computing using Qiskit with Classical ML and VQC algorithm , Python for Data Science, IBM Quantum Challenge, Master the Mainframe 2018 - Part 2, IBM DB2 UDB V8.1 Family Fundamentals, Databricks Accredited Lakehouse Fundamentals ",Bengaluru,Karnataka,India,mlopss
ML Ops Engineer ,UNITED SYSTEC SOLUTIONS PRIVATE LIMITED,4.2,"pytest, Selenium, Postman API, Mysql , Amazon Web Services (AWS), azure, Scikit-Learn, SQL, Data Analysis, MySQL, Microsoft Excel, Microsoft Power BI, Tableau, Python (Programming Language), parrot, Kali Linux, Wireshark, Social Engineering, Nmap, malware exploitation, Tenable Nessus, SQL Injection",Bachelor of Technology - BTech,Vellore Institute of Technology,"Process Data from Dirty to Clean, Share Data Through the Art of Visualization, Foundations: Data, Data, Everywhere",,Andhra Pradesh,India,mlopss
Consultant,Eli Lilly and Company,14.5,"Hadoop, Mainframe, Teradata, Teradata Data Warehouse, Hive, MapReduce, Sqoop, DMX, Unix, Yarn, Tortoise SVN, Autosys, SQL, Amazon Web Services (AWS), Amazon S3, Amazon Elastic MapReduce (EMR), Amazon Athena, AWS SageMaker, Apache Spark, Python (Programming Language), Git, Apache Airflow, autosys, Shell Scripting",Btech,Cochin University of Science and Technology,"Microsoft Certified: Azure AI Fundamentals, Microsoft Certified: Azure Fundamentals, AWS Certified Solutions Architect – Associate, Post Graduate Diploma in Data Science - NLP, Cloudera Certified Developer for Apache Hadoop",Bengaluru,Karnataka,India,mlopss
ML Engineer,Clarifai,4.8,"ServiceNow, Go (Programming Language), Databricks, Google Kubernetes Engine (GKE), Docker, DevOps, Kubernetes, Apache Spark, Data Science, Data Engineering, Machine Learning, AWS Lambda, MySQL, MongoDB , Pandas, Project Management, Windows Administration, Microsoft SQL Server, AWS Command Line Interface (CLI), Internet of Things (IoT), C#, Autodesk Fusion 360, SQL, Python (Programming Language), Automotive, Analytical Skills, Amazon Web Services (AWS), Microsoft Azure, Red Hat Linux, Cloud Infrastructure",Certified Professional in Advanced Programming ,"Indian Institute of Technology, Madras","Building advanced RAG applications, Practical A/B testing, Programming with Google Go, Functions, Methods, and Interfaces in Go, DevOps Crash Course, Python for Data Science, AWS Certified Solutions Architect – Associate, SQL for Datascience , The Arduino platform and C programming, Introduction to Internet of things and Embedded systems , SAP Technical consulting - virtual internship program , image processing onramp with matlab, data collection and processing with python, python functions , files and dictionaries , Python Basics, certified solidworks associate in mechanical design, Machine learning for all, programming for everybody , matlab onramp, Amazon Web Services Cloud Practitioner",Bengaluru,Karnataka,India,mlopss
ML Ops Engineer 2,Suki,5.9,"HuggingFace, JavaScript, Amazon Web Services (AWS), Django, React.js, Machine Learning Algorithms, Computer Science, MmDet, mmdet, Apache Airflow, Jira Align, Keras, Gitlab, PostgreSQL, Google BigQuery, Confluence, Python (Programming Language), Google Cloud Platform (GCP), Kubeflow, Docker, Detectron2, PyTorch, Research, Machine Learning, Leadership, Artificial Intelligence (AI), Neural Networks",Master of Science - MS,The University of Texas at Arlington,,,,India,mlopss
Founding Engineer,Viable,1.4,"MLOps, Predictive Analytics, Natural Language Processing (NLP), Deep Learning, Machine Learning, Back-End Web Development, Full-Stack Development, Cloud Computing, Redux.js, Search Engine Optimization (SEO), TypeScript, Django Channels, React.js, Node.js, Responsive Web Design, Firebase, Go (Programming Language), Kubernetes, Js, Analytical Skills, JavaScript, Cascading Style Sheets (CSS), HTML, Python (Programming Language), C (Programming Language), Engineering",Bachelor's degree,Visvesvaraya Technological University,,Bengaluru,Karnataka,India,mlopss
AI Engineer,Cruxx AI,6.9,"Large Language Models (LLM), OpenAI, PyTorch, Langchain, Generative AI, Natural Language Processing (NLP) , Data Analytics, Data Science, Natural Language Processing (NLP), Computer Vision, Deep Learning, Python (Programming Language), Machine Learning, MLOps, AngularJS, Web Development, HTML, JavaScript, Bootstrap",Master of Computer Applications - MCA,National Institute of Technology Kurukshetra,,Bengaluru,Karnataka,India,mlopss
Data Science & ML ops Engineer,Cognizant,4.7,"Large Language Models (LLM), AI Prompting, Azure Data Lake, Data Engineering, Data Maintenance,  Chiplet validation, CXL/PCIe Gen6,  SoC validation architecture, technical program management,  SVA, JTAG testing, scripting (Python, Perl),  Lab equipment operation, signal probing (DDR/PCIe/USB),  System-Level Verification Architecture,  UVM（Universal Verification Methodology）,  SoC Integration & Subsystem Verification,  Simulation & Model-based Verification,  Formal Verification,  Cross-functional Collaboration & Leadership,  Debugging & Root Cause Analysi Debugging & Root Cause Analysi,  EDA Toolchain Familiarity, Engineering Data Management, SPARQL, spark, PySpark, sparksql, Data Loading, Turbine ETL, Data Warehousing, Big Data, databricks, Spark, PostgreSQL, Dashboards, Tableau, Informatica, Microsoft Azure, SQL Azure, Azure Data Factory, Azure Cosmos DB, Azure Databricks, Azure Functions, Longview, Embedded Systems, Very-Large-Scale Integration (VLSI), C (Programming Language), Embedded C, Networking, linear integrated circuit, Processors, Digital Electronics, signals and systems, Python (Programming Language), HTML, Cascading Style Sheets (CSS), Testing, SQL",,,,Chennai,Tamil Nadu,India,mlopss
Software Engineer,TATA Advanced Systems Limited,4.1,"Ansible, Kubernetes, Terraform, Docker, VxWorks, VBScript, C (Programming Language), PHP Frameworks, Shell Scripting, Bash, Go (Programming Language), Operating Systems, Python 3, Red Hat Certified Engineer (RHCE), Network Security, Machine Learning, Programming, HTML, Cascading Style Sheets (CSS), JavaScript, jQuery, MySQL, Django, Eclipse, Microsoft Office, Linux, Git, PHP, C++, OpenGL, Hadoop, Ethical Hacking, Data Analytics, Automation test, BLAST, Mega-x, Apache Pig, Elasticsearch, Kibana, Hive, Python (Programming Language)",Master of Technology - MTech,RV College Of Engineering,"Building Agile Capabilities in Your Organization, Developing and Supporting an Agile Mindset, Learning from Failure, Learning from Failure and Success, Agile Principles and Methodologies, Agile Principles and Methodologies, Agile Project Planning, Agile Project Scheduling and Monitoring, Cultivating Enterprise Agile, Innovating with Lean Product Management, The Essential Role of the Agile Product Owner, Leadership Insights on Problem Solving & Decision Making, The Seybold Report Journal, Learn Parallel Computing in Python, NLP Natural Language Processing with python, International Journal of Advanced Research in Computer and Communication Engineering, International Journal of Advanced Research in Computer and Communication Engineering, C++ Programming Language",Bengaluru,Karnataka,India,mlopss
AI-ML Engineer,OpenText,9.2,"Generative AI, Artificial Intelligence (AI), ML Ops, Machine Learning, Data Analysis, Microsoft Power BI, Tableau, Python (Programming Language), SQL, PL/SQL, Informatica, Informatica Data Quality, Informatica Power Center, ETL Developer, Business Analysis",Master of Science - MS in A.I and ML Ops,SVKM's Narsee Monjee Institute of Management Studies (NMIMS),"Business Analysis, Azure Fundamentals",Bengaluru,Karnataka,India,mlopss
Data and ML Ops Engineer,adidas,7.2,"Elastic Stack (ELK), Edge Computing, Google Cloud Platform (GCP), MySQL, Computer Vision, Linux, Docker, Machine Learning, Data Science, Data Analysis, Deep Learning, Artificial Intelligence (AI), Copywriting, Creative Writing, Blogging, Python (Programming Language), R, SQL, Java, C++, HTML5",Bachelor of Technology,Amity University,Machine Learning,Gurgaon,Haryana,India,mlopss
ML Ops Engineer (Consultant),Tredence Inc.,5.3,"Communication, Business Understanding, PySpark, Tenacious Work Ethic, Critical Thinking, Handle Multiple Projects, Teamwork, Statistical Data Analysis, Data Analytics, DevOps, Logistic Regression, Statistical Modeling, Statistics, Azure DevOps Services, Machine Learning, Microsoft Azure, Statistical Learning, Generative AI, Google Cloud Platform (GCP), Presentations, Presentation Skills, Algebra, Azure Databricks, Predictive Modeling, Regression Analysis, SPSS, C (Programming Language), Python (Programming Language), R language, Microsoft Excel, SQL, C++, Time Series Analysis, Linear Regression, Problem Solving, Multivariate Statistics",Post graduation,"Indian Institute of Technology, Kanpur","Microsoft Certified: Azure AI Engineer Associate, ChatGPT Prompt Engineering for Developers, Microsoft Certified: Azure Data Scientist Associate, The Art of Doing:Code 40 Challenging Problems Today!, Problem Solving (Basic), Python Basic, Machine Learning, R Programming, Data Analysis with Python",Gurgaon,Haryana,India,mlopss
Data Scientist Consultant Level 2,Tredence Inc.,7.2,"Retrieval-Augmented Generation (RAG), Large Language Models (LLM), Vector Databases, Generative AI, Amazon S3, PL/SQL, AWS SageMaker, Solution Architecture, Amazon Web Services (AWS), Python (Programming Language), Database Management System (DBMS), Data Science, Machine Learning, Deep Learning, Natural Language Processing (NLP), PyTorch, SQL, MySQL, mangodb ",Bachelor of Technology,Anil Neerukonda Institute Of Technology & Sciences,"Databricks Certified Generative AI Engineer Associate, AWS Certified Machine Learning - Specialty, AWS Certified Solutions Architect, DL#107 - Introduction to Pytorch, Data analytics using pandas, Machine learning 101",Hyderābād,Telangana,India,mlopss
