current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Android Developer,Accenture,7.5,"Android Jetpack, Flutter, Android Development, Android Studio, Eclipse, Visual Basic .NET (VB.NET), Java, SQL, MySQL",Bachelor of Technology - BTech,University of Calicut,,Cochin,Kerala,India,mobiledevFinal
Software Engineer,Classic Informatics,3.5,"React Native, React.js, Node.js, Redux.js, Express.js, Debugging, GraphQL, REST APIs, TypeScript, JavaScript, Redux Thunk, DSA, iOS, Android, Mobile Applications, ECMAScript, Xcode, Tech-Savvy, JSON, Responsiveness, Software Development, Application Programming Interfaces (API), Bootstrap, MongoDB, Git, Nodejs, Web Applications, Engineering, HTML5, HTML, Front-End Development, Cascading Style Sheets (CSS), Web Development, Communication",Bachelor of Technology - BTech,"Modern Institute of Technology & Research Centre,Alwar",,,Rajasthan,India,mobiledevFinal
Mobile Application Developer,Apnitor Solutions,11.3,"SQL, Databases, Programming, iOS Development, UIKit, Xcode, JSON, Git, Microsoft Office, Microsoft Excel, Customer Service, Microsoft Word, PowerPoint, HTML, Windows, C++, Java, Project Management, Research, iOS, Swift (Programming Language)",Bachelor of Technology (B.Tech.),Lovely Professional University,,,Punjab,India,mobiledevFinal
Flutter Developer ,Entries.AI,3.7,"MySQL, Core Java, Flutter, Git, Dart, dart, flutter  ",,,,Bengaluru,Karnataka,India,mobiledevFinal
Mobile Application Developer,Digicognit Private Limited,11.3,"Expo, Redux, React , React Native, JavaScript, REST APIs",Bachelor of Engineering - BE,Dr.SIVANTHI ADITANAR COLLEGE OF ENGINEERING,,Villupuram,Tamil Nadu,India,mobiledevFinal
Software Engineer,Brickred Systems India Pvt Ltd,4.8,"Google Maps, Mobile Application Development, Custom App Development, React.js, Git, Redux Thunk, Cloud Firestore, TypeScript, HTML, Postman, Redux, React Native, JavaScript, JSON, Firebase, PHP, HTML5, Cascading Style Sheets (CSS)",Diploma in Software Engineering,National Institute of Information Technology,,Delhi,Delhi,India,mobiledevFinal
Mobile Application Developer,"Suyog Computech Pvt. Ltd, Bhubaneswar",4.8,"Data AI, User Profiling, JavaScript, Apache Sqoop, Cross-team Collaboration, Visit, Emergency Services, Interviewing, Account Administration, E-learning Modules, Compilers, React.js, NativeScript, Donor Engagement, Adaptive Management, Mobile Application Development, Coordination Skills, Time Management, Analytical Skills, Problem Solving, Applicant Tracking Systems, Web Application Development, Constructive Feedback, Postman API, Artificial Intelligence (AI), Mobile Platforms, Clean Coding, Back-End Web Development, Generative AI, Schedules, Responsive Web Design, Computer Science Education, Python (Programming Language), Typing, Redux, React Native, jQuery, Engineering, English, Training, Communication, Java, SQL, Java Database Connectivity (JDBC), Java servlet, JavaServer Pages (JSP), HTML, Cascading Style Sheets (CSS)",Bachelor's degree,"Biju Patnaik University of Technology, Odisha",,Bhubaneswar,Odisha,India,mobiledevFinal
Principal Software Engineer,24/7 Software,12.3,"Mobile Application Development, Mobile Enterprise, Kanban, MVP, OCR, Scrum, Isolate, Coroutines, LiveData, Flow , Ktor, Encryption, Retrofit, Mobile Architecture, Team Leadership, Confluence, Android Jetpack, Room Database, Docker, Kubernetes, Bloc State Management, Single Sign-On (SSO), SAML 2.0, Github Actions, WebSocket, Offline First App, Realtime App Sync, Agile Methodologies, Geofencing, Object-Oriented Programming (OOP), Google Cloud Platform (GCP), Model-view-viewmodel (MVVM), Kotlin Coroutines, Protocol Buffers, Cloud Firestore, Riverpod, Microsevices, Google OR-Tools, Typesense, Android Development, Flutter, Kotlin, Android, Core Java, C, Android Studio, Eclipse, SQLite, Oracle, PL/SQL, JIRA, Splunk, Tortoise SVN, Git, Java, JavaScript, SQL, HTML, C++",Bachelor of Technology (B.Tech.),Kalinga Institute of Industrial Technology Bhubaneswar,CCNA Route/Switch,Noida,Uttar Pradesh,India,mobiledevFinal
Mobile Application Developer,Eventzilla,1.4,"Redux, Sentry, Jest, apisause, iOS, Kotlin, Jira, Deep linking, one signal, play store, App Store, Performance Management, TypeScript, Redux.js, Material-UI, Wordpress Development, HTML Scripting,    css, Xcode, Android Studio, Agile Methodologies, Microsoft Visual Studio Code, Mobile Application Development, Subscriptions, react js, HTML, Git, Gitlab, firebase console, Postman API, WordPress, Firebase, React Native, Rest Api, Front-End Development, SQL, React.js, Django REST Framework, Bootstrap, JavaScript, Cascading Style Sheets (CSS), HTML5, Python (Programming Language)",Bachelor of Science - BSc,"Rajah Serfoji Government College, Thanjavur",,Chennai,Tamil Nadu,India,mobiledevFinal
Javascript Developer,Outlier,0.8,"JavaScript, React Native, React.js, Tailwind CSS, Mobile Applications, Cross-platform Development, Android Development, iOS Development, HTML, Cascading Style Sheets (CSS), Software Development, Computer Science, Artificial Intelligence (AI)",Bachelor of Science - BS,"Indian Institute of Technology, Madras",,Sambhaji Nagar,Maharashtra,India,mobiledevFinal
React-native Senior Developer ,Aurin IT,6.1,"Mobile Applications, djnago, Skill Development, Mobile Application Design, Application Programming Interfaces (API), Redux.js, Project Management, UI/UX designer, Research and Development (R&D), HTML, Cascading Style Sheets (CSS), jQuery UI, PHP, CodeIgniter, Python, Django, React Native, Node.js, Adobe Photoshop, adobe XD, C++, Leadership, Public Speaking, React.js, PostgreSQL, HTML5, jQuery, MySQL, Management, Python (Programming Language), Postman API, REST APIs, JavaScript, Programming",Bachelor's degree,University of Calicut,,Malappuram,Kerala,India,mobiledevFinal
Mobile App Developer ,Edtech Innovate Pvt Ltd,2.6,"React Native , ReduxToolkit , Databases, Arrow Functions, Mobile Design, Functionality, Documentation, Coding Standards, Functional Programming, Socket Programming, High Performance Computing (HPC), User Interaction, Document Object Model (DOM), System Performance, CSS Flexbox, Software Architecture, Expos, JavaScript Object Model (JSOM), Communication, Critical Thinking, iOS Design, Resolving Issues, Hybrids, Hooks, Knowledge Acquisition, Responsiveness, Thinking Skills, Version Control Tools, Design Guidelines, JSON Web Token (JWT), Technical Requirements, Troubleshooting, Clean Coding, Representational State Transfer (REST), Written Communication, Software Deployment, GitHub, API Development, Agile Methodologies, Jira, Sockets, Gradle, Version Control, JSON, Analytics, Business Workflows, Performance Tuning, Optimization Techniques, Time Management, Team Management, Team Coordination, Deployment Strategies, Workable Solutions, Mobile Solutions, Framework Design, Attention to Detail, Programming, Mobile Platforms, Collaborative Problem Solving, Problem Solving, Mobile Application Design, Skill Development, Build Tools, Xcode, ECMAScript, Android Studio, Debugging, Socket.io, Computer Science, Firebase, Responsive Web Design, Code Review, Cascading Style Sheets (CSS), MERN Stack, JavaScript, Full-Stack Development, Front-End Development, Express.js, Back-End Web Development, MongoDB, React.js, Node.js, React Native, HTML, HTML5",Master of Computer Applications - MCA,"Barkatullah University, Bhopal",,Noida,Uttar Pradesh,India,mobiledevFinal
iOS Developer,Brucode Technologies ,2.9,"Objective-C, iOS Development, SceneKit, ARKit, Firebase, UIKit, SwiftUI, iOS, Java, SDK development, watchOS, Android Development, iOS SDK, GitHub, Flutter, Git, Data Structures, C++, Mobile Application Development, JavaScript, MySQL, Swift (Programming Language)",Bachelor of Technology - BTech,Baba Farid College of Engineering and Technology,"Java Certificate, Problem Solving Certificate, IoT - Cloud, Sensors & Protocols (Python), The Fundamentals of Digital Marketing",,Punjab,India,mobiledevFinal
iOS App Developer,xpWallet Technologies Pvt. Ltd.,3.0,"iOS, iOS Development, iPhone Application Development, Swift (Programming Language), Teamwork, Microsoft Office, HTML, C++, Microsoft PowerPoint",Master of Computer Applications - MCA,Government Post Graduate College Una,,Una,Himachal Pradesh,India,mobiledevFinal
Mobile Application Developer,Committee Wallah,0.9,"Navigation, Kotlin , Kotlin Coroutines, Version Control, Mobile Interface Design, Git, Android Jetpack, Dagger hilt, JSON, SQLite, User Interface Design, Model-View-Controller (MVC), Model-view-viewmodel (MVVM), Coroutines, Retrofit, JavaScript, Android Framework, Android Development, Kotlin, XML, REST APIs, Firebase, Android, Android Design, DSA, Java, C (Programming Language), Design Thinking, Figma (Software)",B.Tech,Maharshi Dayanand University,"Figma for UX Design, Flutter Essential Training: Build for Multiple Platforms, Intermediate Kotlin for Android Developers, Data Structure & Algorithms in Java for Intermediate Level",Hisar,Haryana,India,mobiledevFinal
Sr. Mobile app Developer ,Visaka Industries Limited,8.3,"Redux.js, nodejs, Server Side JavaScript, Mobile Application Development, C, Java, HTML, JavaScript, MySQL, SQL, Software Development, Data Structures, Node.js, React Native, Selenium, Eggplant, MongoDB",MCA,University of Hyderabad,,Hyderābād,Telangana,India,mobiledevFinal
Software Development Consultant,Capgemini,10.8,"iOS, Model-view-viewmodel (MVVM), iOS Development, Swift (Programming Language), SwiftUI, Android, Java, Kotlin, Android Development, Android SDK, JSP, JDBC, Servlets, Oracle Database, C, Flutter, SQL*Plus, Android Studio, REST APIs",Bachelor's Degree,Amrita Sai Institute of Science and Technology,Verified International Academic Qualifications,Bengaluru,Karnataka,India,mobiledevFinal
Senior Software Engineer,"Armia Systems, Inc",9.5,"Android, React Native, Kotlin, Python (Programming Language), Machine Learning, Java, MySQL, Git, HTML, Adobe Photoshop, Teaching",Bachelor of Computer Applications,Mahatma Gandhi University,,Cochin,Kerala,India,mobiledevFinal
Software Engineer,Bellway Infotech,2.4,"Git, Firebase, getx, Dart, Flutter",Master of Computer Applications - MCA,Medicaps University,,Indore,Madhya Pradesh,India,mobiledevFinal
Sales Executive,LaraPush,0.5,"react native, JavaScript, Elementor, React.js, WordPress, MaterialUI, Express.js, MongoDB, Node.js, Web Development, HTML5, Cascading Style Sheets (CSS), css3, Bootstrap, GitHub",Bachelor's degree in comoputer application,Manipal University Jaipur,,Bhubaneswar,Odisha,India,mobiledevFinal
Software Developer,Apar Technologies,2.2,"React Native, Passionate about Work, Microsoft Excel, Problem Solving, Communication, Engineering, Leadership",Master of Computer Applications - MCA,DIT UNIVERSITY,,Noida,Uttar Pradesh,India,mobiledevFinal
Senior Software Engineer,Accolite,5.4,"JavaScript, Angular, Ionic Framework,  JavaScript Algorithms and Data Structures, RxJS, NgRx, Generative AI, Goldfinch AI Agent, Android SDK, WebSocket, Karma, Angular Material, Cypress, Artificial Intelligence (AI), HTML/CSS, Front-End Development, html/css, scss, iOS Development, Web Development, Android Studio, Debugging Code, Unit Testing, REST APIs, Product Development, SCSS, Cordova, Android Development, Front-end Development, TypeScript, Mobile Application Development, HTML5, CSS3, React.js, c programing, Bootstrap, jQuery, SQL, Team Leadership, Git/GitHub",Bachelor of Technology,"Maulana Abul Kalam Azad University of Technology, West Bengal formerly WBUT","Full Stack Web Development With React specialization, JavaScript Algorithms and Data Structures Certification, git: become an expert in Git & GitHub, SQL Fundamentals course, HTML/HTML5 Fundamental Course, Responsive Web Design Certification, Saas workflow",Bengaluru,Karnataka,India,mobiledevFinal
Senior Software Engineer,Ovniq Technologies,2.5,"Data Structures, Object-Oriented Programming (OOP), Test Cases, Amazon Web Services (AWS), REST APIs, Back-End Web Development, Grid Systems, Version Control Tools, CSS Flexbox, Next.js, JSON, HTML5, Responsive Web Design, Git, Agile Development, Requirements Analysis, Decommissioning, Bug Tracking, Business Process, Responsiveness, Version Control, Technical Documentation, Problem Solving, JavaScript eXtension (JSX), JSON Web Token (JWT), Document Object Model (DOM), Troubleshooting, Systems Design, Syntax, Debugging, Databases, Tailwind CSS, Screen Design, Middleware, Design Guidelines, Content Management Systems (CMS), Web Pages, jQuery, TypeScript, CSS, JavaScript, Bootstrap (Framework), Node.js, Python (Programming Language), MERN Stack, Mean Stack, Front-End Development, Full-Stack Development, React.js, React Native, Virtual Environment, Web Development, Express.js, Application Optimization, Software Development, HTML, MongoDB, Jest, User Interface Design, Cascading Style Sheets (CSS), Continuous Improvement, API Development, User Interface Prototyping, Web Performance",Bachelor of Computer Applications,"Alagappa University, Karaikudi",,Chennai,Tamil Nadu,India,mobiledevFinal
Software Developer,Antino,3.7,"Kmp, Android Development, Kotlin, iOS Development, Express.js, Node.js, English, C, Python (Programming Language), HTML5, Cascading Style Sheets (CSS), JavaScript, React Native, REDUX, Linux, Flutter, Dart",Bachelor of Technology - BTech,west Bengal India Jobs,Python Basic,Bengaluru,Karnataka,India,mobiledevFinal
Software Developer,Antino,2.2,"Firebase, REST APIs, Socket.io, Trello, Git, Cross-platform Development, Android Development, SQL, Kotlin, Dart, Flutter, Mobile Application Development",,,,New Delhi,Delhi,India,mobiledevFinal
Android App Developer,HestaBit,2.8,"Payment Gateways, Third party APIs, Hilt, Core Java, Java Database Connectivity (JDBC), Teamwork, Java, Kotlin, XML, Android Studio, Android Development, Android SDK, Android Jetpack, Postman API, Firebase, American English",Bachelor of Technology - BTech,Dr. A.P.J. Abdul Kalam Technical University,"Data Science for Engineers, Data analytics with python , Developing Soft Skills and Personality, Emotional Intelligence , Enhancing soft skills and personality , Introduction to Industry 4.0 and Industrial Internet of Things, Introduction to Internet of Things, Introduction to embedded system design , Patent law for Engineers and Scientists, Speaking Effectively",Noida,Uttar Pradesh,India,mobiledevFinal
Flutter Developer,Intelizia Infoway,3.2,"Team Building, Teamwork, Mobile Applications, C (Programming Language), C++, Dart, Flutter",Bachelor of Commerce - BCom,"Veer Narmad South Gujarat University, Surat","LinkedIn Content and Creative Design, LinkedIn Marketing Solutions Fundamentals, LinkedIn Marketing Strategy",Surat,Gujarat,India,mobiledevFinal
Frontend Developer,Azure Soft Tech S,3.4,"Amazon Web Services (AWS), REST APIs, Web Services API, GraphQL, Bootstrap (Framework), SASS, Material-UI, Git, Redux.js, Cascading Style Sheets (CSS), HTML5, JavaScript, React.js",Bachelor of Engineering - BE,Thiruvalluvar College of Engineering  and Technology,,Cuddalore,Tamil Nadu,India,mobiledevFinal
Software Development Intern,Wideline IT Solutions ,0.6,"Responsive Web Design, HTML, Git, Software Development, Mobile Application Development, Database Management System (DBMS), Front-End web Development, User Experience (UX), Python (Programming Language), Flutter, HTML5, JavaScript, Cascading Style Sheets (CSS), C (Programming Language)",Bachelor's degree,Lovely Professional University,,Jalandhar,Punjab,India,mobiledevFinal
Software Developer,Valtech,3.2,"Gemini, Genkit, Large Language Models (LLM), Multi-agent Systems, Retrieval-Augmented Generation (RAG), Firebase, Firestore, Agent orchestration, Next.js, React Native, JavaScript, Cascading Style Sheets (CSS), HTML5, MongoDB, Node.js, Swift (Programming Language), iOS Development, React.js, Amazon Web Services (AWS)",Master of Computer Applications - MCA,"Jyoti Nivas College Autonomous, Bangalore",Amazon Web Services Solutions Architect - Associate,Bengaluru,Karnataka,India,mobiledevFinal
Software Engineer,Ivy Mobility,5.0,"Visual Studio, Node.js, Flutter, Redux toolkit, Dependency Injection, Room Database, TypeScript, JavaScript, React Native, Google API, Redux, Kotlin Coroutines, Retrofit, Livedata, Google Maps API, GitHub, Gitlab, Bitbucket, Model-view-viewmodel (MVVM), Model-View-Presenter (MVP), RxJava, Java, SQL, Android Development, Firebase, Android, Android SDK, SQLite, Kotlin, Python (Programming Language), C (Programming Language), Android Design, Android Studio, Android Testing, Lua, Mobile Application Development, Git",Master of Computer Applications - MCA,SRM IST Chennai,"CutShort Certified Android Development - Basic, ShapeAi certificate of Appreciation, Certificate of selection",Bengaluru,Karnataka,India,mobiledevFinal
Senior Software Engineer,Impact Analytics,7.1,"Backend Development, FastAPI, Google Maps, RS422, Serial Communications, Turn Around Management, Node.js in Azure, User Datagram Protocol (UDP), System Design, Back-End Web Development, Mobile Application Development, Team Leadership, Software Development, TypeScript, Requirements Gathering, Soft Skills, Kubernetes, Object-Oriented Programming (OOP), Flask, Android, Design Patterns, High-Level Design, Agile Methodologies, Technical Design, Databases, Code Design, JavaScript, Amazon Web Services (AWS), Linux, Agile Development, Microservices, Software Design, Communication, Problem Solving, Project Management, Project Planning, Leadership, Systems Design, Celery, Redis, Flutter, Node.js, Django, Android Development, MongoDB, PostgreSQL, Firebase, ElasticSearch, Mongoose ODM, Nginx, REST API, Git, Python (Programming Language), Java, C (Programming Language), Amazon S3, HTML, SQL, spaCy, Express.js, Webrtc, Socket.io, Tesseract, Solr, Amazon EC2, Gunicorn, OpenCV, Heroku, Docker",Bachelor of Engineering (B.E.),Padmabhushan Vasantdada Patil Pratisthans College of Engineering Eastern Express Highway Near Everard Nagar Sion-Trombay Road Mumbai 400 022,,Bengaluru,Karnataka,India,mobiledevFinal
React Native Developer,Boston Technology Corporation,4.5,"Web Development, Representational State Transfer (REST), Bluetooth Low Energy, Computer Science, Cascading Style Sheets (CSS), Build Tools, Microsoft Visual Studio Code, Application Programming Interfaces (API), REST APIs, ESLint, TypeScript, React Hooks, Version Control, Git, Redux Thunk, Markup Languages, Redux.js, React.js, React Native, JavaScript, Core Java, SQL",Bachelor's degree,Anna University Chennai,,Bengaluru,Karnataka,India,mobiledevFinal
Lead Mobile Developer,Thoughtworks,9.9,"Android Development, Lead, Fastlane, Groovy, Grails, Communication, Android, Kotlin, Computer Science, Reliability, Programming, Navigation Systems, React Hooks, Mobile Application Development, Debugging, JavaScript, Mqtt, Internet of Things (IoT), Webrtc, Java, Spring Framework, React Native, HTML, Python, Linux, Spring MVC, SOAP, SoapUI, RESTful WebServices, J2ee, Jenkins, Redux, Apache CXF, hockey app, Xcode, Firebase, Data Structures, Algorithms, Mobile Applications",Bachelor of Engineering (B.E.),Reva ITM,,Bengaluru,Karnataka,India,mobiledevFinal
Co-Founder,Inovatrik Technologies,16.8,"Core Java, XML, Mobile Applications, Java, Web Services, Android, Agile Methodologies, Mobile Devices, Eclipse, JSON, JavaScript, SQL, Software Development, Android Development",Master of Science (M.Sc.),Madurai Kamaraj University,,Bengaluru,Karnataka,India,mobiledevFinal
,,,Problem Solving,Bca,Dayananda Sagar University,,Bengaluru,Karnataka,India,mobiledevFinal
Mobile Application Developer,Codewave.com,2.6,"RESTful WebServices, Teamwork, Mobile Applications, Continuous Integration and Continuous Delivery (CI/CD), Problem Solving, Software Development, Pub.dev, Postman API, Model-view-viewmodel (MVVM), DhiWise Flutter Builder, Laravel, REST APIs, GitHub, Node.js, Cross-platform Development, Firebase, Cloud Firestore, Git, iOS Development, Android Development, Dart, Flutter",Master of Science - MS,Jain (Deemed-to-be University),Electronic Arts - Software Engineering Job Simulation,Bengaluru,Karnataka,India,mobiledevFinal
Member technical staff,Zoho,6.2,"Kotlin, SQLite, Android Jetpack, Front-End Development, Debugging, Cascading Style Sheets (CSS), HTML, Redux Thunk, Redux, Redux.js, React Native, AngularJS, Firebase, Apache Cordova, Git, Microsoft Excel, Microsoft Word, Microsoft PowerPoint, JavaScript, React.js, Node.js, MongoDB, Express.js",Bachelor of Engineering - BE,Sona College of Technology,,Bengaluru,Karnataka,India,mobiledevFinal
Software engineer (React native and Android),WebEngage,6.0,"Flutter, iOS, React, Saga, Redux, Es6, Reactjs, Vue.js, Android, React Native, JavaScript, React.js, Gitlab, Python (Programming Language), Cascading Style Sheets (CSS), Java, React Hooks, react-redux, Es7",Bachelor of Engineering - BE,Gogte Institute of Technology,"React Native - The Practical Guide [2022 Edition], React - The complete Guide, React Front to Back, React-basic Hackerrank",Bengaluru,Karnataka,India,mobiledevFinal
iOS integration Engineer,MoEngage,6.2,"Persistence, Model-View-Presenter (MVP), Core Animation, Communication, Runtime Analysis, Socket Programming, Computer Science, Test Cases, Analytical Skills, Multithreading, Debugging, UIKit, Model-view-viewmodel (MVVM), Continuous Integration and Continuous Delivery (CI/CD), Object-Oriented Programming (OOP), Object Oriented Design, Git, JSON, Version Control, CocoaPods, Flutter, Mobile Applications, Website Promotion, Web Design, Search Engine Optimization (SEO), Sales,  ios app, Xcode, SwiftUI, iOS Development, Swift (Programming Language), iOS, Software Development, Market Research, Microsoft Office, eclips, Microsoft Visual Studio Code, Core Java, Team Management, Teamwork, iOS Design, Ios app",Bachelor of Technology - BTech,"Gandhi Engineering College (GEC), Bhubaneswar",,Pune,Maharashtra,India,mobiledevFinal
Senior Software Engineer,PayPal,5.0,"JavaScript, Node.js, React.js, Web Applications, Scrum, Agile Methodologies, AWS Lambda, MongoDB, React Native, Amazon Kinesis, ElasticSearch, Angular 2+, Kibana, Three.js, Amazon S3, Git, HTML5, HTML, jQuery, PHP, Cascading Style Sheets (CSS), Next.js, C (Programming Language), JSON, Jest, Redux Thunk, Leadership, Express.js, Redis, TypeScript, Heroku, Single Page Applications, Scalable Web Applications, Mocha, Functional Programming, Mobile Application Development",Bachelor of Engineering - BE,Jyothy Institute of Technology,,Bengaluru,Karnataka,India,mobiledevFinal
System Engineer,Tata Consultancy Services,1.6,"SAP Commerce Cloud, Spring Security, Aspect-Oriented Programming (AOP), OCC, Spring Data, Spring Boot, Spring Framework, Hibernate, Sap Hybris, Spring MVC, Dart, Firebase, Natural Language Processing (NLP), Programming, Software Development, Git, Object-Oriented Programming (OOP), SQL, Data Science, Django, Django REST Framework, PostgreSQL, Bootstrap , Node.js, Express.js, Java Swing, Java Database Connectivity (JDBC), Hive, Hadoop, Data Visualization, Core Java, Java, HTML, JavaScript, Cascading Style Sheets (CSS), MySQL, Flutter, MongoDB, Python (Programming Language), Problem Solving",B.tech,"SHRI RAMSWAROOP MEMORIAL COLLEGE OF ENGINEERING AND MANAGEMENT, LUCKNOW","Spring Boot 3, Spring 6 & Hibernate, Flutter & Dart - The Complete Guide, SQL(Intermediate), Software Engineering Job Simulation on Forage, Core Java, Data Science Foundations Level 1, Python 101 for Data Science",Bengaluru,Karnataka,India,mobiledevFinal
SDE - I,Namma Yatri,4.3,"Android Development, Android, firebase, Cloud Firestore, Node.js, MongoDB, Flutter, GitHub, Java, Dart",B.E,"Sathyabama Institute of Science & Technology, Chennai","Advanced Golang, Flutter",Bengaluru,Karnataka,India,mobiledevFinal
Mobile Application Developer,Flavorist,4.6,"Tailwind CSS, Version Control, Mobile Applications, Mobile Application Development, UIX, Cloud Services, Amazon Web Services (AWS), AWS Lambda, Amazon S3, Dart, Flutter, Front-End Design, Responsiveness, React Hooks, Communication, Written Communication, Front-End Development, Problem Solving, Translation, React.js, JavaScript, Cascading Style Sheets (CSS), HTML, Medical Transcription, Engineering",Bachelor of Engineering - BE,SNS College of Technology,,Bengaluru,Karnataka,India,mobiledevFinal
