current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Senior Data Analyst,PayPal,7.0,"Hive, tableau prep, Apache Impala, looker, Google BigQuery, Snowflake, Python (Programming Language), Data Models, TABLEAU, SQL, Alteryx, Data Warehousing, Data Visualization, Oracle Database, MySQL, Microsoft Excel, HTML5, Cascading Style Sheets (CSS), Qlik Sense, Microsoft Power BI, Data Analysis",Master of Business Administration - MBA,Bangor University,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Software Engineer III - BI,Walmart Global Tech India,10.2,"Business Intelligence (BI), Data Visualization, Microsoft Power BI, Microsoft SQL Server, SQL Server Analysis Services (SSAS), Data Warehousing, Data Modeling, Extract, Transform, Load (ETL), SharePoint Server, Data Analysis, DAX, Requirements Gathering",Bachelor of Technology - BTech,Gautam Buddha University,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Koch Business Solutions India,7.1,"Test Automation, Databases, Microsoft Excel, SQL, Software Testing Life Cycle (STLC), Manual Testing, Software Development Life Cycle (SDLC), Requirements Analysis, Business Requirements, Test Cases, Test Planning, HTML, Java, JIRA, Android, Bug Tracking, Requirements Gathering, Clinical Trials, Software Testing, User Acceptance Testing, System Testing, Functional Testing, Regression Testing, Microsoft SQL Server, Microsoft Power BI, PowerBI, Database, Transact-SQL (T-SQL)",Master of Computer Applications,"IPS Academy ,Indore - 452 012",,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Tata Consultancy Services,4.8,"Apache Druid, Apache Superset, Apache Spark, Data Visualization, Tableau, Microsoft Power BI, Data Analysis, Business Intelligence (BI), SQL, Data Analytics",,Amrita Vishwa Vidyapeetham,"Salesforce Certified Tableau CRM and Einstein Discovery Consultant, Einstein Prediction Builder Accredited Professional",Bengaluru,Karnataka,India,businees_intelligence_developerss
Senior Data Analyst,KRANION TECHNOLOGIES PRIVATE LIMITED,3.0,"Requirements Gathering, Business Insights, Problem Solving, DWBI, Dimensional Modeling, Star Schema, Power BI,  SAP Business objects,  sap bobj,   lumira, Crystal Reports, SQL Server Management Studio,     sql, Snowflake Cloud, Crystal Xcelsius 2008, Visualization, Analytical Skills, Visual Analytics, Data Manipulation, DAX, Mathematics, Computer Science, Reporting & Analysis, Query Writing, Microsoft Power Query, English, Datasets, Databases, Communication, Data Modeling, Reporting Requirements, Webi, SQL, Microsoft Power BI, Microsoft SQL Server, SAP BusinessObjects, SAP Lumira, Python (Programming Language), Business Intelligence (BI), Data Analytics, Data Warehousing, Design Studio, Dashboards",Master of Computer Applications - MCA,Sri Venkateswara University,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Senior Business Intelligence Developer,Pure Storage,8.2,"dbt, Data Build Tool (DBT), Business Decisions, Python (Programming Language), Problem Solving, Statistics, GitHub, SnapLogic iPaaS, Snowflake, Tableau, Macros, Oracle SQL Developer, Google Data Studio, Google BigQuery, Performance Tuning, DAX, Microsoft Excel, Analytical Skills, Extract, Transform, Load (ETL), Business Intelligence (BI), Databases, Data Architecture, Data Modeling, Provisioning, Visualization, Dashboard, Analytics, Plx, Data Visualization, Google Analytics, Microsoft SQL Server, PostgreSQL, Oracle Database, Data Analysis, Tricentis Tosca, Data Warehousing, Data Analytics, Software Development, SQL, PL/SQL, Jasper Reports, Microsoft Power BI, Jasper, Jira",Bachelor of Engineering - BE,"Government College of Engineering, Salem",,Bengaluru,Karnataka,India,businees_intelligence_developerss
Power BI Developer,Target,5.8,"Data Integration, Visualization, Problem Solving, MySQL, Microsoft Power Query, SQL Server Reporting Services (SSRS), Data Modeling, Microsoft Fabric, PostgreSQL, Azure Data Lake, Data Analytics, Data Visualization, Extract, Transform, Load (ETL), SQL Server Analysis Services (SSAS), Business Intelligence (BI), Dashboards, Azure Databricks, Databases, Microsoft Azure, Azure Data Factory, Microsoft Business Intelligence (MSBI), DAX, SQL, Microsoft SQL Server, SQL Server Integration Services (SSIS), Microsoft Power BI",Bachelor of Technology - BTech,Andhra University College of Engineering,,Hyderābād,Telangana,India,businees_intelligence_developerss
Business Intelligence Developer,Pro Aspire,7.1,"Business Intelligence (BI), DAX , Snowflake, Microsoft Power BI, DAX, Microsoft SQL Server, Recruiting, Microsoft Excel, Microsoft Office, Documentation",Bachelor of Engineering - BE,"Mother Theresa Institute of Engineering & Technology, Palamaner",,Bengaluru,Karnataka,India,businees_intelligence_developerss
Senior Associate Data Engineer L1,Publicis Sapient,7.9,"Agile Project Management, Data-driven Decision Making, Product Strategy, Product Management, Fiverr, Data Architecture, Data Analysis, Master Data Management, Business Analytics, SQL Server Analysis Services (SSAS), Query Writing, Microsoft Power Query, Data Conversion, Customer Interaction, Business Intelligence (BI), Dimensional Modeling, Cross-functional Team Leadership, Problem Solving, Data Modeling, Computer Science, Agile Methodologies, Extract, Transform, Load (ETL), Databases, ETL Tools, Data Analytics, Analytics, Analytical Skills, Snowflake, Alteryx, SQL, Data Visualization, Ms word, Ms excel, Communication, Employee Relations, Teamwork, Team Building, Time Management, Team Management, Microsoft Office, Presentation Skills, Team Motivation, Team Leadership, Social Media Marketing, Search Engine Optimization (SEO), Digital Marketing, Relational Databases, SQL Server Reporting Services (SSRS), SQL Server Integration Services (SSIS), Microsoft Power BI, Data Warehousing, MySQL, Data Management, Data Profiling",Bachelor of Arts - BA,Delhi University,"Certified SAFe® Product Owner / Product Manager, AWS Certified Cloud Practitioner, AWS Certified Cloud Practitioner, Data Visualisation and Power BI, Alteryx Foundational Micro-Credential, Microsoft PL 300",Delhi,Delhi,India,businees_intelligence_developerss
Business Intelligence Developer,Frugal Scientific Pvt Ltd,6.2,"Opensearch , Redash, SQL Server Reporting Services (SSRS), Presentations, Data Analytics, Communication, Pivot Tables, Customer Experience, SQL, Microsoft Excel, Structured Thinking, Tableau, Microsoft Power BI, Data Visualization, Project Management, Problem Solving, Leadership, Machine Learning, pandas, Deep Learning, Computer Vision, Python (Programming Language), NumPy, Analytical Skills",BE ,Vivekananda College for Women,PwC Switzerland - Power BI Job Simulation,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Verifone,10.8,"Knowledge Acquisition, Defining Requirements, Customer Experience Management, Consulting, Business Requirements, Agile Methodologies, Data Analysis, SQL, Tableau, Ms sql, Microsoft Office, Microsoft Excel, Requirements Analysis, Research, Incident Management, Editing, Data Structures, Programming, ITIL Certified, Microsoft Word, PowerPoint, Windows, Outlook, Public Speaking, Team Building, English, ITIL Service Strategy, ITIL Process, SAS, Stakeholder Management, Leadership, Analytics, IT Service Management, Business Intelligence (BI), Project Management, Cloud Administration, Microsoft Azure, Cloud Computing, Cloud Storage",Engineer's Degree,Rajiv Gandhi Prodyogiki Vishwavidyalaya,"Tableau desktop specialist, ITIL Foundation Level, Azure Administration Essential Training, Azure Administration: Configure and Manage Virtual Networks, Azure Administration: Implement and Manage Storage (2019), Cert Prep: Project Management Professional (PMP)®, Excel: Advanced Formulas and Functions, Putting ITIL® Into Practice: Applying ITIL® 4 Foundation Concepts, Isms, ITILF",Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Alorica,4.6,"Data Ingestion, Business Analysis, Python , Java Automation , Callminer , Speech Analytics, SQL Server Reporting Services (SSRS), Logistic Regression, Python, Automation, R, Pandas, NumPy, Machine Learning, Microsoft Sql, Microsoft PowerPoint, Microsoft Excel, Automation testing , Rest assured using java, SQL, Test Planning, Technical Requirements, Test Execution, Test Cases, Regression Testing, Quality Assurance, API Testing, Postman API, Testing, Microsoft Power BI, Business Development, Program Management, Software Development Life Cycle (SDLC), Python (Programming Language), Data Visualization, Java, Manual Testing, React.js, Writing, Blogging, Object-Oriented Programming (OOP), Data Analysis, Windows, Linux, Leadership, Communication, English, Database Management System (DBMS)",Bachelor of Engineering - BE,KLE Technological University - Hubballi (India),"PGP in Data Science and Machine Learning , Data Science , Power BI, SQL , Agile Job Simulation, Business Writing, AWS Fundamentals: Going Cloud-Native, AZ 900: Microsoft Azure fundamentals , Linux",Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Tableau,15.2,"IT Business Analysis, US Healthcare, Amazon Redshift, Business Intelligence (BI), Customer Relationship Management (CRM), Data Analytics, SQL, Dashboards, Microsoft Business Intelligence (MSBI), SQL Server Integration Services (SSIS), Azure Data Factory, SQL Tuning, Resolving Issues, Data Modeling, Data Manipulation, DAX, Analytics, Amazon Web Services (AWS), Microsoft SQL Server, Data Warehousing, Alteryx, Analytical Skills, Microsoft Power BI, Extract, Transform, Load (ETL), ETL Tools, ETL Testing, Tableau, Data Visualization, Performance Dashboards",Master of Computer Applications,"New Horizon College of Engineering, BANGALORE","Creating Interactive Tableau Dashboards, Tableau Essential Training",Bengaluru,Karnataka,India,businees_intelligence_developerss
Power BI Developer ,SourceMash,4.4,"Microsoft Power BI, SQL, Microsoft Excel, Data Analytics, Python , Business Intelligence (BI), Business Analysis, Dashboards, Data Reporting, Business Analytics, Tableau, Data Analysis, Communication, Scrum, Analytics, Microsoft SQL Server, Data Warehousing, PL/SQL, Snowflake, R, Oracle Database, Machine Learning, DAX, Azure Data Factory, Extract, Transform, Load (ETL), Microsoft Power Query, Scikit-Learn, Data Visualization, Data Modeling, Statistical Analysis, Agile Methodologies, VBA, Google Sheets, Pandas, MySQL, Relational Databases, Jira, Microsoft PowerPoint, Visio",Bachelor of Engineering - BE,B. M. S. College of Engineering,"Data & Business Analytics with Power BI, Statistics for Data Science and Business Analysis, BCG - Data Science , Quantium - Data Analytics , SQL - MySQL for Data Analytics and Business Intelligence , Workshop on Analyzing and Visualizing Data with Power BI, Advanced Business Analytics with R",Bengaluru,Karnataka,India,businees_intelligence_developerss
Power BI Devloper,Delphi Consulting Middle East,6.0,"Data Analysis, SQL, Business Analysis, Business Intelligence, Microsoft Office, Zoho Campaigns",Bachelor of Engineering (B.Eng.),Jawaharlal Nehru Technological University anatapur,"Analyzing and Visualizing Data with Microsoft Power BI, Analyzing and Visualizing Data with Microsoft Power BI",Bengaluru,Karnataka,India,businees_intelligence_developerss
Senior Data Analyst,Publicis Sapient,11.5,"Data Management, Hadoop, Agile Methodologies, Data Modeling, Business Analysis, Databases, Data Science, Data Visualization, Transact-SQL (T-SQL), SQL Server Reporting Services (SSRS), Data Warehousing, Jira, Systems Analysis, SQL Server Integration Services (SSIS), SQL, Testing, Data Analysis, Extract, Transform, Load (ETL), Data Analytics, SQL Server Analysis Services (SSAS)",,,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,NTT DATA GLOBAL DELIVERY SERVICES PRIVATE LIMITED,6.5,"IBM Cognos Analytics, Databases, Tableau, R (Programming Language), SQL, Alteryx BI + Visualization Solutions, MicroStrategy, Database Management System (DBMS), MySQL, Java, Engineering, Core Java, Hindi, English, Kannada, Marathi",Bachelor of Technology - BTech,Alliance University,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Analyst,Stixis Technologies,8.3,"IT Business Analysis, Data Flow, Business Intelligence (BI), Microsoft Power Query, Microsoft Power Apps, PowerApps, Computer Science, Service-Level Agreements (SLA), Time Management, Key Performance Indicators, Analytical Skills, Business Requirements, SQL Server Reporting Services (SSRS), Data Analysis, Business Analytics, Microsoft Power BI, Business Intelligence Reporting, Data Models, Business Analysis, DAX, Extract, Transform, Load (ETL), Data Modeling, Reporting Tool, Data Visualization",Bachelor's degree,sri sai high school,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Consultant,IQVIA,12.1,"Business Intelligence (BI), Databases, Data Analysis, Data Warehousing, Dashboard, IBM Db2, DataStage, IBM Cognos Analytics, Data Modeling, Data Visualization, Cognos, SQL, Oracle SQL Developer, Business Intelligence Tools, ServiceNow, C++, C, JavaScript, Java, MySQL, HTML, PHP, CSS, Microsoft Office, Windows",Bachelor of Technology (B.Tech.),Amrita University,"Introduction to Data Engineering, Cognos 10 BI OLAP Developer Certification, Cognos 10 BI Author Certification, Oracle Database SQL",Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Computer Aid Inc,23.5,"Data Entry, Project Lead, Extract, Transform, Load (ETL), Data Visualization, SQL, Google Analytics, MySQL, Reporting Tool, Business Intelligence Tools, Excel Dashboards, English",Bachelor of Business Administration - BBA,Vishveshwaraia college of Business Management,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Software Associate,Cognizant,10.8,"Business Intelligence (BI), Microsoft Business Intelligence (MSBI), Data Profiling, Star Schema, Data Models, Business Intelligence Reporting, DAX, power BI Service, Microsoft Power Query, Dashboards, Visualization, Data Visualization, SQL, Microsoft Power BI",Bachelor of Engineering - BE,Engineering and Technology Jobs,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Senior Consultant,EY,7.2,"Problem Solving, Reporting & Analysis, Data Integration, Data Modeling, Microsoft SQL Server, Microsoft Power Query, Microsoft Excel, Alteryx, Python (Programming Language), Requirements Gathering, Microsoft Power BI, Tableau, Business Intelligence (BI), SQL, DAX, Data Visualization, Database Management System (DBMS), QlikView",Bachelor of Engineering (B.E.),Dayananda Sagar University,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Computershare,4.8,"Oral Communication, Communication, Problem Solving, Data Visualization, User Acceptance Testing, Troubleshooting, Extract, Transform, Load (ETL), Error Correction, Database Queries, Data Processing, Data Integration, Reporting Requirements, Report Development, Microsoft Azure, Data Manipulation, Data Models, DAX, Computer Science, Stakeholder Management, Visualization, Databases, Data Modeling, Analytical Skills, Data Analytics, Microsoft Power BI, Tableau, Microsoft Excel, Microsoft Office, Microsoft Word, Microsoft SQL Server, SQL, R, Python, Google Analytics, Simul8, Orange, Visio, Microsoft Project, Microsoft PowerPoint, C, SQL Server Integration Services (SSIS)",Master of Science - MS,University of Stirling,"Microsoft Certified: Azure Data Engineer Associate, Analyzing and Visualizing Data with Microsoft Power BI, Microsoft Certified: Azure Data Fundamentals, SQL Server Integration Services",Bengaluru,Karnataka,India,businees_intelligence_developerss
Associate BI Developer,CRMIT Solutions,2.3,"Tableau, Data Cloud, Data Visualization, Dashboards, Agentforce, Prompt Builder, Flows, LLM’s, Machine Learning, Data handling, AI Model Evaluation, Data Modeling, Identity Reconciliation, Data Warehouse Architecture, API integration and SDKs, System Administration, Process Flow Diagrams, Data Analysis, Business Analysis, Salesforce CRM Analytics, Problem Solving, Java, Cascading Style Sheets (CSS), HTML",Bachelor of Engineering - BE,New Horizon College of Engineering,"Salesforce Certified AI Associate, Salesforce Certified AI Specialist, Salesforce Certified Data Cloud Consultant, Salesforce Certified Tableau CRM and Einstein Discovery Consultant, Getting Started with Enterprise-grade AI, Journey to Cloud: Envisioning Your Solution, Salesforce Certified Administrator (SCA)",Bengaluru,Karnataka,India,businees_intelligence_developerss
Power BI developer,Pluralsight,19.8,"Bootstrap, Node.js, React.js, Microsoft Power BI, PL/SQL, Oracle Database, Bootstrap (Framework), CSS, HTML5, JavaScript, SQL, Business Intelligence (BI)",B.Tech,KNIT Sultanpur,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Tata Consultancy Services,3.7,"Microsoft Power Query, DAX, Microsoft Power BI, Business Intelligence (BI), SQL, Microsoft Excel, Data Visualization, Tableau, Extract, Transform, Load (ETL), Python (Programming Language), Data Analysis",Bachelor of Technology,"Jawaharlal College of Engineering and Technology (JCET), Ottapalam","PL-300 - Microsoft Power BI Data Analyst, Data Analytics, Learning Power BI Desktop, SQL for Data Analysis",Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Cognizant,,"Data Analysis, Business Intelligence Tools, Data Visualization, Business Intelligence (BI), Data Warehousing",,,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Engineer,IKEA,8.7,"Procurement BI, Data Modelling and ETL, Google BigQuery, Google Cloud Platform (GCP), Agile Methodologies, Microsoft Power Virtual Agents, Microsoft Power Platform, Microsoft Power Apps, Microsoft Power Automate, Power BI, Data Modeling, Azure Data Factory, Azure Data Lake, Azure Data Engineer, Procurement Analytics, Cloud Computing, Cloud Storage, Analytical Skills, Data Analytics, SQL, Microsoft Azure, Process Improvement, Category Analysis, Microsoft Power Query, Advance Excel, KPI Dashboards, Microsoft Power BI, Transact-SQL (T-SQL), Microsoft Excel, Data Analysis, Data Visualization, Reporting & Analysis, Extract, Transform, Load (ETL), Business Analytics, Microsoft SQL Server, Microsoft Outlook, Microsoft Word, Microsoft PowerPoint, Microsoft Access, Team Management, Team Leadership, Stakeholder Management, DAX, Catalog Management, process improvement, Spend Analysis, Categorization, PowerPivot, Spend Management, ServiceNow",Bachelor of Technology - BTech,SRM IST Chennai,"Cloud Digital Leader Certification, Microsoft Certified: Power Platform Fundamentals, Microsoft Certified: Power BI Data Analyst Associate, Microsoft Certified: Azure Data Fundamentals, Microsoft Certified: Azure Fundamentals, Exam 779: Analyzing and Visualizing Data with Microsoft Excel, Specialization - Data Analysis and Presentation Skills: the PwC Approach, Microsoft Office Specialist Excel 2016",Bengaluru,Karnataka,India,businees_intelligence_developerss
Sr Business Analyst,Amazon,15.8,"Microsoft PowerPoint, Data Analysis, Customer Insight, Data Visualization, Reporting & Analysis, Amazon Redshift, Oracle Database, AWS Lambda, Amazon Web Services (AWS), Amazon SQS, HTML5, Amazon QuickSight, Python (Programming Language), Process Improvement, SQL Server Integration Services (SSIS), Tableau, SAP BusinessObjects, Database Design, Visual Studio, SQL Server Reporting Services (SSRS), SSRS, Oracle, Core Java, Java, Microsoft SQL Server, ASP.NET, Crystal Reports, .net, c#, SAP BI, C#, Requirements Analysis, Business Analysis, Oracle SQL Developer, Business Objects, PL/SQL, .NET, Web Applications, SQL",B.TECH,KIET Group of Institutions,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Wipro,7.5,"Google BigQuery, Jira, IBM TWS, Testing, Google Cloud Platform (GCP), cloud sql, Looker (Software), BI PROGRAMMER, MySQL, Software Development Life Cycle (SDLC), Data warehouse, Agile, Object-Oriented Programming (OOP), Python (Programming Language), Git, SQL, Swagger, Ab initio, IBM Tivoli Workload Scheduler (TWS), Teradata, Rally, Business Intelligence (BI), Reporting, WebFOCUS",Diploma of Education,Centre for Development of Advanced Computing (C-DAC),,Pune,Maharashtra,India,businees_intelligence_developerss
Senior Business Intelligence Consultant,Confidential,11.7,"Business Analytics, QlikView Development, Qlik, Requirements Analysis, Business Analysis, SQL, Business Intelligence, Microsoft SQL Server, Software Development, QlikView, Microsoft Power BI, Qlik Sense, Qlik NPrinting",M.Tech,JNTU Anantapur,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Citi,15.5,"Data Analysis, Tableau, SQL, Microsoft Excel, Data Visualization, Dashboard Building, Mindfulness",,,,Bengaluru,Karnataka,India,businees_intelligence_developerss
SDE 3|Scrum Master,Amadeus,10.4,"Generative AI, Prompt Engineering, Technical Support, Problem Solving, Azure Data Studio, Agile Methodologies, Scrum, Scaled Agile Framework, Agile Application Development, Alteryx, DataStage, Ab Initio, Informatica, Google BigQuery, Security, Microsoft SQL Server, Data Analysis, SAP BusinessObjects , Extract, Transform, Load (ETL), Tableau, Data Visualization, Google Analytics, Analytics, Manufacturing, Plant Maintenance, Planned Preventative Maintenance, Business Intelligence (BI), Microsoft Power BI, Python (Programming Language), Microsoft PowerPoint, SQL, Microsoft Azure, Microsoft Excel, Java, Microsoft Office, SQL Server Integration Services (SSIS), SQL Server Reporting Services (SSRS), Azure DevOps, Equipment Reliability, Digital Transformation, Business Intelligence Tools, SAP BI, QlikView, Web Intelligence, Webi, Teradata SQL, Teradata, Snowflake, SAP HANA, Direct Sales, Sales, Agile & Waterfall Methodologies, Pricing Analysis, Pricing Optimization",Bachelor of Technology - BTech,SRM IST Chennai,"Generative AI Engineering with LLMs, Google Project Management:, Microsoft Copilot: Your Everyday AI Companion, Generative AI for Data Analysts, Tableau Consumer, SAFe 5 Practitioner Certification, Create and use analytics reports with Power BI, Design Principles for Effective Dashboard Design, Microsoft Azure AI Fundamentals: Explore visual tools for machine learning, Power BI A to Z: hands on Power BI Training for Data Science, Tableau 2022 A-Z: Hands-On Tableau Training for Data Science ",Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Accenture,3.1,"Microsoft Power Apps, Microsoft Power Automate, Problem Solving, Data Visualization, Statistics, Research Skills, Business Analysis, Microsoft Power BI, Business Intelligence (BI), Statistical Data Analysis, Data Analytics, MySQL, Machine Learning, LaTeX, Tableau, Python (Programming Language), R (Programming Language), Microsoft Excel, SQL, Data Science, Data Mining, Analytical Skills, Data Analysis",Master's degree,"Central University of Rajasthan, Jaipur","SQL(Intermediate), SQL(basic), Process Data from Dirty to Clean, Prepare Data for Exploration, Ask Questions to Make Data-Driven Decisions, Foundations: Data, Data, Everywhere",Bengaluru,Karnataka,India,businees_intelligence_developerss
Assistant Manager,WNS Analytics,6.7,"Microsoft Power Apps, Microsoft Power BI , Tableau, Snowflake Cloud, Microsoft Business Intelligence (MSBI), Extract, Transform, Load (ETL), Azure Data Factory, Business Intelligence, SQL Server Integration Services (SSIS), SQL Server Reporting Services (SSRS), SSAS , Tableau , Power BI, Data Warehousing, Microsoft SQL Server",Master of Technology - MTech,Engineering & Technology jobs,,Bengaluru,Karnataka,India,businees_intelligence_developerss
MicroStrategy Developer/Admin/Architect,Visionet Systems Inc.,17.2,"MicroStrategy Architect , MicroStrategy, PL/SQL, SQL, Business Intelligence",B.Tech,University of Madras,,Chennai,Tamil Nadu,India,businees_intelligence_developerss
BI developer ,Alchemy Innovators Private Limited,5.7,"Microsoft SQL Server, SQL Server Integration Services (SSIS), SQL Server Reporting Services (SSRS), SQL, Transact-SQL (T-SQL), Dashboards, Relational Databases, Task Execution, Keyword Density, DQL, Data Loading, Report Design, Data-flow Diagrams, Package Management, Solution-oriented, Aggregates, Data Flow, Report Development, Performance Tuning, Business Objects Data Integrator, On Premises Data Gateway, Foreign National Loans, SQL Tools, Extractions, Debugging, Data Cubes, Data Reporting, Constraint Programming, SQL Server Analysis Services (SSAS), Warehouse Operations, Table Design, Database Design, Microsoft Power Query, Security as a Service, Windows, Exposure to SAP, Telecommunications, Data Visualization, T-SQL Stored Procedures, Business Intelligence Reporting, Verification and Validation (V&V), User Requirements, SQL database design",Bachelor's degree,Sri Venkateswara University,,Bengaluru,Karnataka,India,businees_intelligence_developerss
